auditor,audit_item_id,clip_a_delivery_high_or_low,clip_b_delivery_high_or_low,clip_a_perceived_category,clip_b_perceived_category,more_intense_clip_a_or_b_or_same,clip_a_appropriate_response_style,clip_b_appropriate_response_style,confidence_1_to_5,clip_a_intelligibility_1_to_5,clip_b_intelligibility_1_to_5,clip_a_naturalness_1_to_5,clip_b_naturalness_1_to_5,notes
author_01,PROSODY-01,,,,,,,,,,,,,
author_01,PROSODY-02,,,,,,,,,,,,,
author_01,PROSODY-03,,,,,,,,,,,,,
author_01,PROSODY-04,,,,,,,,,,,,,
author_01,PROSODY-05,,,,,,,,,,,,,
author_01,PROSODY-06,,,,,,,,,,,,,
author_01,PROSODY-07,,,,,,,,,,,,,
author_01,PROSODY-08,,,,,,,,,,,,,
author_01,PROSODY-09,,,,,,,,,,,,,
author_01,PROSODY-10,,,,,,,,,,,,,
author_01,PROSODY-11,,,,,,,,,,,,,
author_01,PROSODY-12,,,,,,,,,,,,,
author_01,PROSODY-13,,,,,,,,,,,,,
author_01,PROSODY-14,,,,,,,,,,,,,
author_01,PROSODY-15,,,,,,,,,,,,,
author_01,PROSODY-16,,,,,,,,,,,,,
author_01,PROSODY-17,,,,,,,,,,,,,
author_01,PROSODY-18,,,,,,,,,,,,,
author_01,PROSODY-19,,,,,,,,,,,,,
author_01,PROSODY-20,,,,,,,,,,,,,
author_01,PROSODY-21,,,,,,,,,,,,,
