source,model,scenario_id,domain,bucket,causal_pair_id,causal_branch,condition,seed,trajectory_success,action_trajectory_success,pre_gap_success,post_gap_success,belief_reporting_success,state_belief_success,response_style_success,failure_tags,model_calls,prompt_tokens,completion_tokens,total_tokens,cost,latency_s,error
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,27217,539,27756,0.0274595,110.951,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,gap_no_state_change,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,29316,635,29951,0.029844,91.405,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,state_change_short,0,True,True,True,True,True,True,,,15,28877,545,29422,0.0291375,98.72,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,state_change_short,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,26263,548,26811,0.0265325,89.273,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,hidden_user_action,0,True,True,True,True,True,True,,,15,30198,605,30803,0.0306385,86.165,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,hidden_user_action,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,30655,584,31239,0.0310325,112.405,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,neutral_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,29916,648,30564,0.0304855,100.411,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,neutral_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,30235,566,30801,0.0305585,89.047,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,gap_no_state_change,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR,15,25501,550,26051,0.0257985,103.369,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,gap_no_state_change,1,False,False,False,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,26388,502,26890,0.0265415,97.059,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,state_change_short,0,False,False,False,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,24423,521,24944,0.0246335,96.06,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,state_change_short,1,False,False,False,True,True,True,,EARLY_CLUE_LOSS,15,22141,511,22652,0.0227625,107.971,
analysis\round2\_scratch\gemini3_all_conditions.jsonl,google/gemini-3-flash-preview,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,hidden_user_action,0,False,False,False,False,True,True,,EARLY_CLUE_LOSS;TIME_INFERENCE_FAILURE,15,25676,526,26202,0.0259015,90.011,
