pair_id,domain,bucket,turns_b0,turns_b1,fields_differing,n_expected,n_critical,n_unexpected,critical_fields,unexpected_fields
bank:1-2:s05,banking,1-2,27,27,17,17,0,0,-,-
bank:12-20:s05,banking,12-20,27,27,17,17,0,0,-,-
bank:5-8:s05,banking,5-8,27,27,17,17,0,0,-,-
clinic:1-2:s05,scheduling,1-2,27,27,17,17,0,0,-,-
clinic:12-20:s05,scheduling,12-20,27,27,17,17,0,0,-,-
clinic:5-8:s05,scheduling,5-8,27,27,17,17,0,0,-,-
college:1-2:s05,education,1-2,27,27,17,17,0,0,-,-
college:12-20:s05,education,12-20,27,27,17,17,0,0,-,-
college:5-8:s05,education,5-8,27,27,17,17,0,0,-,-
delivery:1-2:s05,logistics,1-2,27,27,17,17,0,0,-,-
delivery:12-20:s05,logistics,12-20,27,27,17,17,0,0,-,-
delivery:5-8:s05,logistics,5-8,27,27,17,17,0,0,-,-
flight:1-2:s05,travel,1-2,27,27,16,16,0,0,-,-
flight:12-20:s05,travel,12-20,27,27,16,16,0,0,-,-
flight:5-8:s05,travel,5-8,27,27,16,16,0,0,-,-
motor:1-2:s05,motor_insurance,1-2,27,27,17,17,0,0,-,-
motor:12-20:s05,motor_insurance,12-20,27,27,17,17,0,0,-,-
motor:5-8:s05,motor_insurance,5-8,27,27,17,17,0,0,-,-
permit:1-2:s05,permits,1-2,27,27,17,17,0,0,-,-
permit:12-20:s05,permits,12-20,27,27,17,17,0,0,-,-
permit:5-8:s05,permits,5-8,27,27,17,17,0,0,-,-
pharmacy:1-2:s05,pharmacy,1-2,27,27,17,17,0,0,-,-
pharmacy:12-20:s05,pharmacy,12-20,27,27,17,17,0,0,-,-
pharmacy:5-8:s05,pharmacy,5-8,27,27,17,17,0,0,-,-
router:1-2:s05,tech_support,1-2,27,27,17,17,0,0,-,-
router:12-20:s05,tech_support,12-20,27,27,17,17,0,0,-,-
router:5-8:s05,tech_support,5-8,27,27,17,17,0,0,-,-
saas:1-2:s05,account_access,1-2,27,27,17,17,0,0,-,-
saas:12-20:s05,account_access,12-20,27,27,17,17,0,0,-,-
saas:5-8:s05,account_access,5-8,27,27,17,17,0,0,-,-
telecom:1-2:s05,mobile_service,1-2,27,27,17,17,0,0,-,-
telecom:12-20:s05,mobile_service,12-20,27,27,17,17,0,0,-,-
telecom:5-8:s05,mobile_service,5-8,27,27,17,17,0,0,-,-
tenancy:1-2:s05,housing,1-2,27,27,17,17,0,0,-,-
tenancy:12-20:s05,housing,12-20,27,27,17,17,0,0,-,-
tenancy:5-8:s05,housing,5-8,27,27,17,17,0,0,-,-
utility:1-2:s05,energy,1-2,27,27,17,17,0,0,-,-
utility:12-20:s05,energy,12-20,27,27,17,17,0,0,-,-
utility:5-8:s05,energy,5-8,27,27,17,17,0,0,-,-
warranty:1-2:s05,repair,1-2,27,27,17,17,0,0,-,-
warranty:12-20:s05,repair,12-20,27,27,17,17,0,0,-,-
warranty:5-8:s05,repair,5-8,27,27,17,17,0,0,-,-
