model,condition,n_trajectories,n_trajectories_with_any_change,n_changed_variable_observations,revision_gain,final_revision_gain,reflection_gain,stale_belief_mass,stored_mean_revision_gain,stored_mean_final_revision_gain,stored_mean_stale_belief_persistence,contributing_variables
Gemini 2.5,Ordinary audio,168,116,116,-0.0091,-0.0029,0.0062,0.0209,-0.0091,-0.0029,0.0209,access_status=9; authorization_status=9; claim_progress=12; claim_state=3; claim_status=8; connection_status=7; dispute_status=12; enrolment_status=8; firmware_status=9; permit_status=9; port_status=7; reading_status=11; shipment_status=1; work_order_status=11
Gemini 2.5,No state change,168,108,108,0.5963,0.2981,-0.2981,0.0278,0.5963,0.2981,0.0278,access_status=11; authorization_status=7; claim_progress=12; claim_state=5; claim_status=8; connection_status=2; dispute_status=12; enrolment_status=11; firmware_status=10; permit_status=6; port_status=5; reading_status=4; shipment_status=4; work_order_status=11
Gemini 2.5,Short clue,168,105,105,0.142,0.1809,0.0389,0.0174,0.142,0.1809,0.0174,access_status=8; authorization_status=7; claim_progress=9; claim_state=3; claim_status=7; connection_status=6; dispute_status=12; enrolment_status=11; firmware_status=10; permit_status=5; port_status=5; reading_status=9; shipment_status=3; work_order_status=10
Gemini 2.5,Clue removed,168,100,100,0.1471,0.155,0.0079,0.0223,0.1471,0.155,0.0223,access_status=9; authorization_status=4; claim_progress=12; claim_state=7; claim_status=4; connection_status=8; dispute_status=11; enrolment_status=10; firmware_status=8; permit_status=4; port_status=2; reading_status=9; work_order_status=12
Gemini 2.5,Transcript,168,125,125,0.2821,0.2888,0.0067,0.0176,0.2821,0.2888,0.0176,access_status=12; authorization_status=8; claim_progress=12; claim_state=9; claim_status=5; connection_status=6; dispute_status=12; enrolment_status=10; firmware_status=11; permit_status=11; port_status=4; reading_status=10; shipment_status=3; work_order_status=12
Gemini 2.5,Neutral audio,168,108,108,0.2363,0.2449,0.0086,0.0131,0.2363,0.2449,0.0131,access_status=8; authorization_status=6; claim_progress=8; claim_state=6; claim_status=8; connection_status=7; dispute_status=12; enrolment_status=9; firmware_status=9; permit_status=8; port_status=7; reading_status=7; shipment_status=1; work_order_status=12
Gemini 2.5,Explicit user update,168,146,184,0.7783,0.7946,0.0163,0.044,0.7496,0.7706,0.0524,access_status=7; authorization_status=7; causal_alignment=72; claim_progress=10; claim_state=4; claim_status=8; connection_status=12; dispute_status=11; enrolment_status=10; firmware_status=8; permit_status=6; port_status=5; reading_status=10; shipment_status=2; work_order_status=12
Gemini 2.5,High prosody,168,114,114,0.1939,0.2136,0.0197,0.0158,0.1939,0.2136,0.0158,access_status=9; authorization_status=6; claim_progress=8; claim_state=7; claim_status=10; connection_status=7; dispute_status=10; enrolment_status=11; firmware_status=10; permit_status=7; port_status=5; reading_status=8; shipment_status=5; work_order_status=11
Gemini 2.5,Low prosody,168,105,105,0.0461,0.0973,0.0512,0.0229,0.0461,0.0973,0.0229,access_status=11; authorization_status=5; claim_progress=10; claim_state=5; claim_status=9; connection_status=6; dispute_status=11; enrolment_status=12; firmware_status=9; permit_status=5; port_status=4; reading_status=6; shipment_status=1; work_order_status=11
Gemini 3,Ordinary audio,168,130,130,0.3091,0.3981,0.089,0.0204,0.3091,0.3981,0.0204,access_status=12; authorization_status=9; claim_progress=11; claim_state=7; claim_status=11; connection_status=6; dispute_status=12; enrolment_status=9; firmware_status=12; permit_status=10; port_status=6; reading_status=7; shipment_status=6; work_order_status=12
