source,model,scenario_id,domain,bucket,condition,seed,trajectory_success,action_trajectory_success,pre_gap_success,post_gap_success,belief_reporting_success,state_belief_success,response_style_success,failure_tags,model_calls,prompt_tokens,completion_tokens,total_tokens,cost,latency_s,error
results\gemini_2_5_flash_seed0_full.jsonl,google/gemini-2.5-flash,flight_12to20_v0,travel,12-20,full_audio,0,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,14,20238,369,20607,0.020401,43.161,
results\gemini_2_5_flash_seed0_full.jsonl,google/gemini-2.5-flash,flight_12to20_v0,travel,12-20,gap_no_state_change,0,False,False,True,False,True,True,,,14,20261,355,20616,0.01956194,35.565,
results\gemini_2_5_flash_seed0_full.jsonl,google/gemini-2.5-flash,flight_12to20_v0,travel,12-20,state_change_short,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,18900,369,19269,0.01823896,44.9,
results\gemini_2_5_flash_seed0_shard_b.jsonl,google/gemini-2.5-flash,flight_12to20_v0,travel,12-20,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,19121,380,19501,0.01848759,52.408,
results\gemini_2_5_flash_seed0_shard_b.jsonl,google/gemini-2.5-flash,flight_12to20_v0,travel,12-20,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,3714,371,4085,0.0020417,32.567,
results\gemini_2_5_flash_seed0_shard_c.jsonl,google/gemini-2.5-flash,flight_12to20_v0,travel,12-20,hidden_user_action,0,False,False,True,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,20472,358,20830,0.01978017,43.88,
results\gemini_2_5_flash_seed0_shard_c.jsonl,google/gemini-2.5-flash,flight_12to20_v0,travel,12-20,prosody_high,0,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,14,20034,381,20415,0.0201983,44.837,
results\mistral_voxtral_small_24b_seed0_full.jsonl,mistralai/voxtral-small-24b-2507,flight_12to20_v0,travel,12-20,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,1798,336,2134,0.0672136,46.577,
results\mistral_voxtral_small_24b_seed0_full.jsonl,mistralai/voxtral-small-24b-2507,flight_12to20_v0,travel,12-20,gap_no_state_change,0,False,False,True,False,True,True,,,14,1800,340,2140,0.06738429,44.0,
results\mistral_voxtral_small_24b_seed0_full.jsonl,mistralai/voxtral-small-24b-2507,flight_12to20_v0,travel,12-20,state_change_short,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,1780,347,2127,0.06540376,45.36,
results\mistral_voxtral_small_24b_seed0_full.jsonl,mistralai/voxtral-small-24b-2507,flight_12to20_v1,travel,12-20,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,1780,365,2145,0.06520036,52.835,
results\mistral_voxtral_small_24b_seed0_shard_b.jsonl,mistralai/voxtral-small-24b-2507,flight_12to20_v0,travel,12-20,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,1797,360,2157,0.0668805,48.796,
results\mistral_voxtral_small_24b_seed0_shard_b.jsonl,mistralai/voxtral-small-24b-2507,flight_12to20_v0,travel,12-20,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,4296,431,4727,0.0004347,33.384,
results\mistral_voxtral_small_24b_seed0_shard_c.jsonl,mistralai/voxtral-small-24b-2507,flight_12to20_v0,travel,12-20,hidden_user_action,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR,14,1810,336,2146,0.06835357,52.041,
