model,condition,n_recomputed,n_paper,first action_recomputed,final action_recomputed,belief after gap_recomputed,strict_recomputed,first action_paper,final action_paper,belief after gap_paper,strict_paper
Gemini 2.5,Ordinary audio,168,168,69.6,35.1,39.3,1.2,69.6,35.1,39.3,1.2
Gemini 2.5,No state change,168,168,67.9,38.7,60.7,8.9,67.9,38.7,60.7,8.9
Gemini 2.5,Short clue,168,168,63.7,35.7,35.7,1.8,63.7,35.7,35.7,1.8
Gemini 2.5,Clue removed,168,168,59.5,25.0,29.8,1.2,59.5,25.0,29.8,1.2
Gemini 2.5,Transcript,168,168,77.4,35.7,51.8,10.1,77.4,35.7,51.8,10.1
Gemini 2.5,Neutral audio,168,168,64.9,31.5,32.7,0.6,64.9,31.5,32.7,0.6
Gemini 2.5,Explicit user update,168,168,63.7,72.0,72.6,17.9,63.7,72.0,72.6,17.9
Gemini 2.5,High prosody,168,168,68.5,36.9,37.5,0.6,68.5,36.9,37.5,0.6
Gemini 2.5,Low prosody,168,168,63.7,32.1,35.7,3.6,63.7,32.1,35.7,3.6
Gemini 3,Ordinary audio,168,168,80.4,47.0,51.2,14.9,80.4,47.0,51.2,14.9
Gemini 3,No state change,168,168,75.0,48.2,78.6,21.4,75.0,48.2,78.6,21.4
Gemini 3,Short clue,168,168,66.1,42.3,50.6,11.9,66.1,42.3,50.6,11.9
Gemini 3,Clue removed,168,168,66.7,26.8,32.1,3.6,66.7,26.8,32.1,3.6
Gemini 3,Transcript,168,168,84.5,58.3,64.3,21.4,84.5,58.3,64.3,21.4
Gemini 3,Neutral audio,168,168,78.0,45.2,54.2,10.7,78.0,45.2,54.2,10.7
Gemini 3,Explicit user update,168,168,75.0,79.8,85.1,22.0,75.0,79.8,85.1,22.0
Gemini 3,High prosody,168,168,74.4,44.6,51.2,0.6,74.4,44.6,51.2,0.6
Gemini 3,Low prosody,168,168,72.0,40.5,53.0,2.4,72.0,40.5,53.0,2.4
GPT Audio Mini,Ordinary audio,168,168,65.5,22.0,31.0,0.0,65.5,22.0,31.0,0.0
GPT Audio Mini,No state change,168,168,61.3,21.4,63.1,3.0,61.3,21.4,63.1,3.0
GPT Audio Mini,Short clue,168,168,66.7,20.8,32.7,1.2,66.7,20.8,32.7,1.2
GPT Audio Mini,Clue removed,168,168,55.4,26.8,17.3,0.6,55.4,26.8,17.3,0.6
GPT Audio Mini,Neutral audio,168,168,63.1,19.0,32.1,0.6,63.1,19.0,32.1,0.6
GPT Audio Mini,Explicit user update,168,168,65.5,63.1,67.9,8.9,65.5,63.1,67.9,8.9
GPT Audio Mini,High prosody,168,168,60.7,19.6,30.4,0.0,60.7,19.6,30.4,0.0
GPT Audio Mini,Low prosody,168,168,60.7,20.2,40.5,0.6,60.7,20.2,40.5,0.6
