model,condition,checkpoint,n,full_success,action_selection_failure,lucky_action,state_synchronization_failure,outcome_missing,action_belief_consistent,action_belief_consistent_n,risk_calibration_consistent,risk_calibration_consistent_n
Gemini 2.5,Ordinary audio,pre-gap,168,4.2,1.8,65.5,28.6,0,9.8,164,83.3,168
Gemini 2.5,Ordinary audio,final,168,29.8,10.1,5.4,54.8,0,57.5,167,87.5,168
Gemini 2.5,No state change,pre-gap,168,23.8,7.7,44.0,24.4,0,33.1,160,85.7,168
Gemini 2.5,No state change,final,168,27.4,17.3,11.3,44.0,0,56.5,168,82.1,168
Gemini 2.5,Short clue,pre-gap,168,19.0,10.7,44.6,25.6,0,26.2,164,78.0,168
Gemini 2.5,Short clue,final,168,21.4,16.7,14.3,47.6,0,45.5,165,80.4,168
Gemini 2.5,Clue removed,pre-gap,168,6.0,4.2,53.6,36.3,0,24.1,162,60.7,168
Gemini 2.5,Clue removed,final,168,18.5,10.1,6.5,64.9,0,44.6,168,78.6,168
Gemini 2.5,Transcript,pre-gap,168,38.7,13.1,38.7,9.5,0,39.9,168,83.3,168
Gemini 2.5,Transcript,final,168,32.7,18.5,3.0,45.8,0,50.6,168,77.4,168
Gemini 2.5,Neutral audio,pre-gap,168,17.9,11.9,47.0,23.2,0,28.6,161,77.4,168
Gemini 2.5,Neutral audio,final,168,26.2,12.5,5.4,56.0,0,52.7,167,80.4,168
Gemini 2.5,Explicit user update,pre-gap,168,22.0,11.9,41.7,24.4,0,33.1,160,73.8,168
Gemini 2.5,Explicit user update,final,168,63.7,8.3,8.3,19.6,0,79.6,167,94.0,168
Gemini 2.5,High prosody,pre-gap,168,20.8,9.5,47.6,22.0,0,34.0,162,82.7,168
Gemini 2.5,High prosody,final,168,29.8,7.1,7.1,56.0,0,56.3,167,79.2,168
Gemini 2.5,Low prosody,pre-gap,168,20.8,4.2,42.9,32.1,0,30.2,162,80.4,168
Gemini 2.5,Low prosody,final,168,25.6,12.5,6.5,55.4,0,47.9,167,79.8,168
Gemini 3,Ordinary audio,pre-gap,168,43.5,10.7,36.9,8.9,0,48.5,167,89.9,168
Gemini 3,Ordinary audio,final,168,44.6,19.0,2.4,33.9,0,61.9,168,81.0,168
Gemini 3,No state change,pre-gap,168,38.1,13.1,36.9,11.9,0,41.7,168,85.7,168
Gemini 3,No state change,final,168,38.7,32.1,9.5,19.6,0,59.5,168,75.6,168
Gemini 3,Short clue,pre-gap,168,36.9,11.9,29.2,22.0,0,39.3,168,83.3,168
Gemini 3,Short clue,final,168,32.7,20.2,9.5,37.5,0,58.9,168,78.6,168
Gemini 3,Clue removed,pre-gap,168,14.9,9.5,51.8,23.8,0,38.7,168,61.9,168
Gemini 3,Clue removed,final,168,22.6,11.9,4.2,61.3,0,44.0,168,62.5,168
Gemini 3,Transcript,pre-gap,168,46.4,10.7,38.1,4.8,0,47.0,168,83.3,168
Gemini 3,Transcript,final,168,56.5,18.5,1.8,23.2,0,62.5,168,81.0,168
Gemini 3,Neutral audio,pre-gap,168,38.1,13.1,39.9,8.9,0,40.7,167,83.3,168
Gemini 3,Neutral audio,final,168,38.7,18.5,6.5,36.3,0,58.3,168,76.2,168
Gemini 3,Explicit user update,pre-gap,168,29.2,13.1,45.8,11.9,0,31.0,168,83.9,168
Gemini 3,Explicit user update,final,168,78.6,12.5,1.2,7.7,0,86.3,168,90.5,168
Gemini 3,High prosody,pre-gap,168,37.5,10.7,36.9,14.9,0,40.5,168,90.5,168
Gemini 3,High prosody,final,168,35.7,19.0,8.9,36.3,0,50.6,168,62.5,168
Gemini 3,Low prosody,pre-gap,168,35.1,17.3,36.9,10.7,0,38.7,168,85.7,168
Gemini 3,Low prosody,final,168,32.7,21.4,7.7,38.1,0,55.1,167,67.9,168
GPT Audio Mini,Ordinary audio,pre-gap,168,10.1,7.7,55.4,26.8,0,15.0,167,61.3,168
GPT Audio Mini,Ordinary audio,final,168,10.7,19.6,11.3,58.3,0,25.6,168,57.1,168
GPT Audio Mini,No state change,pre-gap,168,8.9,10.1,52.4,28.6,0,16.2,167,62.5,168
GPT Audio Mini,No state change,final,168,13.1,42.3,8.3,36.3,0,32.7,168,63.7,168
GPT Audio Mini,Short clue,pre-gap,168,7.7,7.7,58.9,25.6,0,11.9,168,61.9,168
GPT Audio Mini,Short clue,final,168,11.9,15.5,8.9,63.7,0,31.0,168,64.3,168
GPT Audio Mini,Clue removed,pre-gap,168,8.9,6.5,46.4,38.1,0,22.0,168,75.0,168
GPT Audio Mini,Clue removed,final,168,7.7,13.1,19.0,60.1,0,28.1,167,76.8,168
GPT Audio Mini,Neutral audio,pre-gap,168,11.3,4.8,51.8,32.1,0,16.1,168,58.3,168
GPT Audio Mini,Neutral audio,final,168,11.3,22.6,7.7,58.3,0,34.3,166,57.7,168
GPT Audio Mini,Explicit user update,pre-gap,168,10.1,9.5,55.4,25.0,0,16.2,167,65.5,168
GPT Audio Mini,Explicit user update,final,168,53.6,8.3,9.5,28.6,0,69.0,168,79.2,168
GPT Audio Mini,High prosody,pre-gap,168,11.3,8.3,49.4,31.0,0,19.6,168,67.3,168
GPT Audio Mini,High prosody,final,168,10.7,14.9,8.9,65.5,0,32.1,168,58.9,168
GPT Audio Mini,Low prosody,pre-gap,168,8.9,11.9,51.8,27.4,0,15.6,167,60.1,168
GPT Audio Mini,Low prosody,final,168,10.1,22.0,10.1,57.7,0,31.0,168,58.3,168
