condition,decisions,FULL_SUCCESS,ACTION_SELECTION_FAILURE,LUCKY_ACTION,STATE_SYNCHRONIZATION_FAILURE,FULL_SUCCESS_pct,ACTION_SELECTION_FAILURE_pct,LUCKY_ACTION_pct,STATE_SYNCHRONIZATION_FAILURE_pct
ALL,1512,842,278,223,169,0.5569,0.1839,0.1475,0.1118
clue_removed,168,35,43,33,57,0.2083,0.256,0.1964,0.3393
full_audio,168,94,32,26,16,0.5595,0.1905,0.1548,0.0952
gap_no_state_change,168,94,32,26,16,0.5595,0.1905,0.1548,0.0952
hidden_user_action,168,94,32,26,16,0.5595,0.1905,0.1548,0.0952
neutral_audio,168,94,32,26,16,0.5595,0.1905,0.1548,0.0952
prosody_high,168,94,32,26,16,0.5595,0.1905,0.1548,0.0952
prosody_low,168,94,32,26,16,0.5595,0.1905,0.1548,0.0952
state_change_short,168,149,11,8,0,0.8869,0.0655,0.0476,0.0
transcript_only,168,94,32,26,16,0.5595,0.1905,0.1548,0.0952
