auditor,audit_item_id,pre_action_label,causal_alignment,answerable_yes_no,ambiguity_1_to_5,evidence_turn_or_reason,notes
annotator_01,ANNOTATOR_01-01,D,aligned,no,3,Turn 21/22,unrelated parking question
annotator_01,ANNOTATOR_01-02,D,misaligned,yes,1,Turn4/21,names don't match
annotator_01,ANNOTATOR_01-03,C,aligned,yes,1,Turn 4/15,transfer has received assessment
annotator_01,ANNOTATOR_01-04,E,aligned,yes,1,Turn 4/25,all in the same name
annotator_01,ANNOTATOR_01-05,D,aligned,yes,2,Turn4/7,turn 7 uses diff lang
annotator_01,ANNOTATOR_01-06,A,misaligned,yes,3,Turn 4/21,none of the options are appropriate
annotator_01,ANNOTATOR_01-07,A,aligned,yes,2,Turn 4/19,diff lang
annotator_01,ANNOTATOR_01-08,A,misaligned,no,2,Turn 4/19, inappropriate options
annotator_01,ANNOTATOR_01-09,E,aligned,yes,1,Turn 4/19,n/a
annotator_01,ANNOTATOR_01-10,C,misaligned,no,2,Turn 4/25,n/a
annotator_01,ANNOTATOR_01-11,n/a,misaligned,no,2,Turn 4/19,no info on departure delay
annotator_01,ANNOTATOR_01-12,C,aligned,yes,1,Turn 4/9,n/a
annotator_01,ANNOTATOR_01-13,D,misaligned,no,2,Turn 4/7, expired authority
annotator_01,ANNOTATOR_01-14,B,misaligned,no,2,Turn 4/9,intermediary record
annotator_01,ANNOTATOR_01-15,C,misaligned,no,2,Turn 4/25,names don't match
annotator_01,ANNOTATOR_01-16,C,misaligned,no,2,Turn 4/21,unlisted meters
annotator_01,ANNOTATOR_01-17,D,misaligned,no,2,Turn 4/25,diff systems
annotator_01,ANNOTATOR_01-18,A,aligned,yes,1,Turn 4/15,n/a
annotator_01,ANNOTATOR_01-19,E,aligned,yes,1,Turn 4/25,n/a
annotator_01,ANNOTATOR_01-20,E,misaligned,no,2,Turn 4/25,identifier and record don't match
annotator_01,ANNOTATOR_01-21,B,aligned,yes,1,Turn 4/25,n/a
