auditor,audit_item_id,labels_semicolon_separated,evidence_or_reason,confidence_1_to_5,notes
author_01,FAILURE-01,,,,
author_01,FAILURE-02,,,,
author_01,FAILURE-03,,,,
author_01,FAILURE-04,,,,
author_01,FAILURE-05,,,,
author_01,FAILURE-06,,,,
author_01,FAILURE-07,,,,
author_01,FAILURE-08,,,,
author_01,FAILURE-09,,,,
author_01,FAILURE-10,,,,
author_01,FAILURE-11,,,,
author_01,FAILURE-12,,,,
author_01,FAILURE-13,,,,
author_01,FAILURE-14,,,,
author_01,FAILURE-15,,,,
author_01,FAILURE-16,,,,
author_01,FAILURE-17,,,,
author_01,FAILURE-18,,,,
author_01,FAILURE-19,,,,
author_01,FAILURE-20,,,,
author_01,FAILURE-21,,,,
