model,condition,n,trajectory_pass1,action_trajectory_success,pre_gap_success,post_gap_success,belief_validity,belief_pre_accuracy,belief_post_observation_accuracy,belief_pre_final_accuracy,revision_gain,stale_belief_persistence,brier,ece,prompt_tokens,completion_tokens,total_tokens,cost,model_calls
google/gemini-2.5-flash,__overall_partial__,7,0.0,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,,,,,,,,122740,2583,125323,0.11871,98
google/gemini-2.5-flash,full_audio,1,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,1.0,0.5,20238,369,20607,0.020401,14
google/gemini-2.5-flash,gap_no_state_change,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,0.17666666666666667,0.2333333333333333,20261,355,20616,0.019562,14
google/gemini-2.5-flash,state_change_short,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9,0.5800000000000001,0.3999999999999999,18900,369,19269,0.018239,14
google/gemini-2.5-flash,clue_removed,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,1.6616666666666668,0.8666666666666667,19121,380,19501,0.018488,14
google/gemini-2.5-flash,transcript_only,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.05,0.9,0.5966666666666667,0.3333333333333333,3714,371,4085,0.002042,14
google/gemini-2.5-flash,hidden_user_action,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.8,0.9,1.7300000000000002,0.8666666666666667,20472,358,20830,0.01978,14
google/gemini-2.5-flash,prosody_high,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.1,0.9,0.7066666666666667,0.46666666666666656,20034,381,20415,0.020198,14
mistralai/voxtral-small-24b-2507,__overall_partial__,7,0.0,0.7142857142857143,1.0,0.7142857142857143,1.0,,,,,,,,15061,2515,17576,0.400871,98
mistralai/voxtral-small-24b-2507,full_audio,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.075,0.775,0.8816666666666667,0.45,3578,701,4279,0.132414,28
mistralai/voxtral-small-24b-2507,gap_no_state_change,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,0.07833333333333332,0.2333333333333333,1800,340,2140,0.067384,14
mistralai/voxtral-small-24b-2507,state_change_short,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.9916666666666668,0.46666666666666684,1780,347,2127,0.065404,14
mistralai/voxtral-small-24b-2507,clue_removed,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,0.75,1.2916666666666667,0.6666666666666666,1797,360,2157,0.06688,14
mistralai/voxtral-small-24b-2507,transcript_only,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.15,0.5,0.6833333333333332,0.16666666666666669,4296,431,4727,0.000435,14
mistralai/voxtral-small-24b-2507,hidden_user_action,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.05,0.9,1.2916666666666667,0.7,1810,336,2146,0.068354,14
