model,condition,n,trajectory_pass1,pass_k,pass_at_k,domain_ci_low,domain_ci_high,action_trajectory_success,pre_gap_success,post_gap_success,belief_validity,belief_pre_accuracy,belief_post_observation_accuracy,belief_pre_final_accuracy,revision_gain,stale_belief_persistence,brier,nll,normalized_entropy,ece,prompt_tokens,completion_tokens,total_tokens,cost,model_calls
google/gemini-3-flash-preview,__overall_partial__,1512,0.12103174603174603,,,,,0.3816137566137566,0.7466931216931217,0.4808201058201058,0.998015873015873,,,,,,,,,,38435081,838465,39273546,38.848577,22934
google/gemini-3-flash-preview,full_audio,168,0.1488095238095238,2,0.2619047619047619,0.08333333333333333,0.22023809523809526,0.4523809523809524,0.8035714285714286,0.47023809523809523,0.998015873015873,0.5416666666666666,0.5119047619047619,0.6369047619047619,0.3090769230769231,0.020384615384615383,0.4594348063555114,4.833200848446867,0.14187341020017147,0.19960278053624625,4438094,88335,4526429,4.579678,2543
google/gemini-3-flash-preview,gap_no_state_change,168,0.21428571428571427,2,0.34523809523809523,0.13690476190476192,0.29166666666666663,0.47619047619047616,0.75,0.48214285714285715,1.0,0.5119047619047619,0.7857142857142857,0.7083333333333334,0.585178027313082,0.013247863247863248,0.3250071785117309,2.5921945975312384,0.16799114827777098,0.12496554732487142,4839626,95973,4935599,4.908531,2627
google/gemini-3-flash-preview,state_change_short,168,0.11904761904761904,2,0.21428571428571427,0.06547619047619048,0.17857142857142858,0.375,0.6607142857142857,0.4226190476190476,1.0,0.4880952380952381,0.5059523809523809,0.5297619047619048,0.28017857142857144,0.021875000000000002,0.48874360119047616,5.166095330380816,0.15048193843795235,0.20694444444444446,4697321,93744,4791065,4.759081,2547
google/gemini-3-flash-preview,clue_removed,168,0.03571428571428571,2,0.05952380952380952,0.0,0.07738095238095237,0.24404761904761904,0.6666666666666666,0.26785714285714285,1.0,0.24404761904761904,0.32142857142857145,0.34523809523809523,0.22427927927927926,0.01783783783783784,0.8962339042927426,8.815892985131319,0.26845856412479996,0.39084578457257024,4438976,89570,4528546,4.581207,2534
google/gemini-3-flash-preview,transcript_only,168,0.21428571428571427,2,0.30952380952380953,0.125,0.3095238095238095,0.5833333333333334,0.8452380952380952,0.5833333333333334,1.0,0.5714285714285714,0.6428571428571429,0.75,0.4131386861313869,0.024817518248175185,0.3203882936507937,2.811340064881213,0.12292837698802293,0.14232142857142854,1026907,93939,1120846,0.79527,2520
google/gemini-3-flash-preview,neutral_audio,168,0.10714285714285714,2,0.19047619047619047,0.047619047619047616,0.17261904761904762,0.43452380952380953,0.7797619047619048,0.4523809523809524,0.998015873015873,0.5119047619047619,0.5416666666666666,0.5714285714285714,0.336496062992126,0.028346456692913385,0.4757365521350546,4.614197042527799,0.16747174297988207,0.1986653426017875,4681389,93146,4774535,4.742405,2523
google/gemini-3-flash-preview,hidden_user_action,168,0.22023809523809523,2,0.30952380952380953,0.1130952380952381,0.3511904761904762,0.6309523809523809,0.75,0.7976190476190477,1.0,0.4226190476190476,0.8511904761904762,0.9107142857142857,0.794671052631579,0.05690789473684211,0.26989922023809526,2.4992005231759733,0.1201783079830071,0.10811607142857145,4779974,93635,4873609,4.839389,2548
google/gemini-3-flash-preview,prosody_high,168,0.005952380952380952,2,0.011904761904761904,0.0,0.017857142857142856,0.06547619047619048,0.7440476190476191,0.44642857142857145,1.0,0.48214285714285715,0.5119047619047619,0.5476190476190477,0.2972357723577236,0.013414634146341465,0.49967539683174605,4.826509235895672,0.15761426235495468,0.2106844444444445,4791026,95419,4886445,4.847581,2560
google/gemini-3-flash-preview,prosody_low,168,0.023809523809523808,2,0.047619047619047616,0.005952380952380952,0.041666666666666664,0.17261904761904762,0.7202380952380952,0.40476190476190477,0.998015873015873,0.5238095238095238,0.5297619047619048,0.5416666666666666,0.24952586206896551,0.013793103448275864,0.4871342105263158,4.659803527290936,0.16600857037880765,0.20301886792452836,4741768,94704,4836472,4.795434,2532
