model,condition,scope,n_pairs,both final actions,both final actions 95% CI,both post-gap beliefs,both post-gap beliefs 95% CI,both actions and both beliefs,both actions and both beliefs 95% CI,both first actions,both first actions 95% CI
Gemini 2.5,Ordinary audio,pooled,84,11.9,"[7.1, 16.7]",16.7,"[9.5, 25.0]",4.8,"[0.0, 10.7]",51.2,"[34.5, 67.9]"
Gemini 2.5,Ordinary audio,seed=0,42,9.5,"[2.4, 16.7]",9.5,"[2.4, 16.7]",4.8,"[0.0, 11.9]",50.0,"[28.6, 71.4]"
Gemini 2.5,Ordinary audio,seed=1,42,14.3,"[7.1, 23.8]",23.8,"[9.5, 38.1]",4.8,"[0.0, 11.9]",52.4,"[35.7, 69.0]"
Gemini 2.5,No state change,pooled,84,17.9,"[8.3, 27.4]",39.3,"[23.8, 56.0]",6.0,"[2.4, 10.7]",48.8,"[31.0, 67.9]"
Gemini 2.5,No state change,seed=0,42,11.9,"[4.8, 21.4]",42.9,"[23.8, 64.3]",4.8,"[0.0, 11.9]",42.9,"[23.8, 64.3]"
Gemini 2.5,No state change,seed=1,42,23.8,"[9.5, 40.5]",35.7,"[19.0, 52.4]",7.1,"[0.0, 14.3]",54.8,"[35.7, 73.8]"
Gemini 2.5,Short clue,pooled,84,15.5,"[9.5, 21.4]",9.5,"[1.2, 20.2]",0.0,"[0.0, 0.0]",39.3,"[22.6, 56.0]"
Gemini 2.5,Short clue,seed=0,42,11.9,"[4.8, 21.4]",4.8,"[0.0, 11.9]",0.0,"[0.0, 0.0]",47.6,"[26.2, 69.0]"
Gemini 2.5,Short clue,seed=1,42,19.0,"[9.5, 26.2]",14.3,"[2.4, 31.0]",0.0,"[0.0, 0.0]",31.0,"[16.7, 47.6]"
Gemini 2.5,Clue removed,pooled,84,1.2,"[0.0, 3.6]",2.4,"[0.0, 6.0]",0.0,"[0.0, 0.0]",42.9,"[25.0, 61.9]"
Gemini 2.5,Clue removed,seed=0,42,2.4,"[0.0, 7.1]",2.4,"[0.0, 7.1]",0.0,"[0.0, 0.0]",35.7,"[16.7, 54.8]"
Gemini 2.5,Clue removed,seed=1,42,0.0,"[0.0, 0.0]",2.4,"[0.0, 7.1]",0.0,"[0.0, 0.0]",50.0,"[28.6, 71.4]"
Gemini 2.5,Transcript,pooled,84,8.3,"[1.2, 16.7]",20.2,"[11.9, 29.8]",3.6,"[0.0, 7.1]",64.3,"[44.0, 83.3]"
Gemini 2.5,Transcript,seed=0,42,7.1,"[0.0, 19.0]",19.0,"[7.1, 33.3]",4.8,"[0.0, 11.9]",59.5,"[38.1, 78.6]"
Gemini 2.5,Transcript,seed=1,42,9.5,"[2.4, 19.0]",21.4,"[9.5, 35.7]",2.4,"[0.0, 7.1]",69.0,"[47.6, 88.1]"
Gemini 2.5,Neutral audio,pooled,84,6.0,"[2.4, 10.7]",7.1,"[2.4, 13.1]",2.4,"[0.0, 6.0]",45.2,"[31.0, 59.5]"
Gemini 2.5,Neutral audio,seed=0,42,7.1,"[0.0, 14.3]",9.5,"[0.0, 21.4]",2.4,"[0.0, 7.1]",45.2,"[28.6, 61.9]"
Gemini 2.5,Neutral audio,seed=1,42,4.8,"[0.0, 11.9]",4.8,"[0.0, 11.9]",2.4,"[0.0, 7.1]",45.2,"[31.0, 61.9]"
Gemini 2.5,Explicit user update,pooled,84,57.1,"[40.5, 71.4]",54.8,"[38.1, 71.4]",39.3,"[21.4, 57.1]",44.0,"[27.4, 60.7]"
Gemini 2.5,Explicit user update,seed=0,42,52.4,"[35.7, 69.0]",57.1,"[38.1, 76.2]",40.5,"[21.4, 59.5]",40.5,"[21.4, 59.5]"
Gemini 2.5,Explicit user update,seed=1,42,61.9,"[40.5, 81.0]",52.4,"[33.3, 71.4]",38.1,"[19.0, 57.1]",47.6,"[28.6, 64.3]"
Gemini 2.5,High prosody,pooled,84,8.3,"[2.4, 16.7]",9.5,"[2.4, 16.7]",0.0,"[0.0, 0.0]",47.6,"[35.7, 59.5]"
Gemini 2.5,High prosody,seed=0,42,11.9,"[2.4, 23.8]",14.3,"[2.4, 28.6]",0.0,"[0.0, 0.0]",42.9,"[26.2, 57.1]"
Gemini 2.5,High prosody,seed=1,42,4.8,"[0.0, 11.9]",4.8,"[0.0, 11.9]",0.0,"[0.0, 0.0]",52.4,"[40.5, 64.3]"
Gemini 2.5,Low prosody,pooled,84,6.0,"[1.2, 11.9]",9.5,"[3.6, 16.7]",1.2,"[0.0, 3.6]",44.0,"[26.2, 61.9]"
Gemini 2.5,Low prosody,seed=0,42,9.5,"[2.4, 16.7]",9.5,"[2.4, 16.7]",2.4,"[0.0, 7.1]",47.6,"[26.2, 69.0]"
Gemini 2.5,Low prosody,seed=1,42,2.4,"[0.0, 7.1]",9.5,"[2.4, 16.7]",0.0,"[0.0, 0.0]",40.5,"[21.4, 59.5]"
Gemini 3,Ordinary audio,pooled,84,16.7,"[6.0, 28.6]",23.8,"[13.1, 34.5]",10.7,"[3.6, 19.0]",65.5,"[47.6, 82.1]"
Gemini 3,Ordinary audio,seed=0,42,21.4,"[7.1, 38.1]",31.0,"[16.7, 45.2]",16.7,"[4.8, 31.0]",64.3,"[42.9, 85.7]"
Gemini 3,Ordinary audio,seed=1,42,11.9,"[0.0, 26.2]",16.7,"[7.1, 26.2]",4.8,"[0.0, 11.9]",66.7,"[50.0, 81.0]"
Gemini 3,No state change,pooled,84,15.5,"[7.1, 25.0]",60.7,"[44.0, 76.2]",7.1,"[2.4, 13.1]",58.3,"[41.7, 75.0]"
Gemini 3,No state change,seed=0,42,16.7,"[7.1, 26.2]",59.5,"[45.2, 73.8]",9.5,"[2.4, 16.7]",57.1,"[40.5, 76.2]"
Gemini 3,No state change,seed=1,42,14.3,"[2.4, 28.6]",61.9,"[40.5, 81.0]",4.8,"[0.0, 11.9]",59.5,"[40.5, 78.6]"
Gemini 3,Short clue,pooled,84,15.5,"[7.1, 23.8]",19.0,"[11.9, 26.2]",4.8,"[1.2, 8.3]",42.9,"[26.2, 59.5]"
Gemini 3,Short clue,seed=0,42,14.3,"[2.4, 28.6]",14.3,"[4.8, 26.2]",2.4,"[0.0, 7.1]",42.9,"[26.2, 61.9]"
Gemini 3,Short clue,seed=1,42,16.7,"[7.1, 28.6]",23.8,"[14.3, 33.3]",7.1,"[0.0, 14.3]",42.9,"[26.2, 61.9]"
Gemini 3,Clue removed,pooled,84,3.6,"[0.0, 9.5]",8.3,"[3.6, 14.3]",1.2,"[0.0, 3.6]",54.8,"[35.7, 72.6]"
Gemini 3,Clue removed,seed=0,42,7.1,"[0.0, 19.0]",9.5,"[2.4, 16.7]",2.4,"[0.0, 7.1]",59.5,"[40.5, 78.6]"
Gemini 3,Clue removed,seed=1,42,0.0,"[0.0, 0.0]",7.1,"[0.0, 14.3]",0.0,"[0.0, 0.0]",50.0,"[28.6, 71.4]"
Gemini 3,Transcript,pooled,84,32.1,"[15.5, 48.8]",32.1,"[15.5, 50.0]",16.7,"[4.8, 31.0]",72.6,"[59.5, 85.7]"
Gemini 3,Transcript,seed=0,42,31.0,"[11.9, 50.0]",28.6,"[14.3, 45.2]",16.7,"[4.8, 31.0]",73.8,"[59.5, 88.1]"
Gemini 3,Transcript,seed=1,42,33.3,"[16.7, 50.0]",35.7,"[16.7, 54.8]",16.7,"[4.8, 31.0]",71.4,"[57.1, 85.7]"
Gemini 3,Neutral audio,pooled,84,17.9,"[8.3, 27.4]",27.4,"[16.7, 38.1]",8.3,"[1.2, 16.7]",60.7,"[46.4, 75.0]"
Gemini 3,Neutral audio,seed=0,42,21.4,"[7.1, 38.1]",23.8,"[9.5, 40.5]",11.9,"[0.0, 26.2]",61.9,"[45.2, 78.6]"
Gemini 3,Neutral audio,seed=1,42,14.3,"[4.8, 23.8]",31.0,"[19.0, 42.9]",4.8,"[0.0, 11.9]",59.5,"[42.9, 76.2]"
Gemini 3,Explicit user update,pooled,84,69.0,"[52.4, 84.5]",76.2,"[58.3, 91.7]",60.7,"[41.7, 78.6]",57.1,"[40.5, 73.8]"
Gemini 3,Explicit user update,seed=0,42,66.7,"[47.6, 83.3]",76.2,"[59.5, 90.5]",59.5,"[38.1, 81.0]",59.5,"[38.1, 81.0]"
Gemini 3,Explicit user update,seed=1,42,71.4,"[54.8, 85.7]",76.2,"[54.8, 92.9]",61.9,"[42.9, 78.6]",54.8,"[38.1, 69.0]"
Gemini 3,High prosody,pooled,84,13.1,"[7.1, 20.2]",27.4,"[16.7, 39.3]",8.3,"[2.4, 15.5]",56.0,"[38.1, 73.8]"
Gemini 3,High prosody,seed=0,42,16.7,"[4.8, 31.0]",28.6,"[11.9, 45.2]",11.9,"[0.0, 26.2]",57.1,"[35.7, 78.6]"
Gemini 3,High prosody,seed=1,42,9.5,"[2.4, 16.7]",26.2,"[14.3, 40.5]",4.8,"[0.0, 11.9]",54.8,"[35.7, 73.8]"
Gemini 3,Low prosody,pooled,84,11.9,"[3.6, 22.6]",26.2,"[14.3, 40.5]",6.0,"[0.0, 14.3]",53.6,"[34.5, 71.4]"
Gemini 3,Low prosody,seed=0,42,9.5,"[0.0, 21.4]",28.6,"[16.7, 40.5]",7.1,"[0.0, 19.0]",54.8,"[33.3, 73.8]"
Gemini 3,Low prosody,seed=1,42,14.3,"[4.8, 26.2]",23.8,"[7.1, 40.5]",4.8,"[0.0, 11.9]",52.4,"[31.0, 71.4]"
GPT Audio Mini,Ordinary audio,pooled,84,1.2,"[0.0, 3.6]",4.8,"[0.0, 13.1]",0.0,"[0.0, 0.0]",39.3,"[20.2, 59.5]"
GPT Audio Mini,Ordinary audio,seed=0,42,2.4,"[0.0, 7.1]",4.8,"[0.0, 11.9]",0.0,"[0.0, 0.0]",33.3,"[16.7, 52.4]"
