scenario_id,domain,branch,user_action,spec_style,rewrites_causal_alignment,effects
bank_12to20_b0_s05,banking,misaligned,update_dispute_card_identifier,declarative,YES,charge_card<-copy:card_on_file; causal_alignment<-aligned
bank_12to20_b1_s05,banking,aligned,update_dispute_card_identifier,declarative,YES,charge_card<-copy:card_on_file; causal_alignment<-aligned
bank_1to2_b0_s05,banking,misaligned,update_dispute_card_identifier,declarative,YES,charge_card<-copy:card_on_file; causal_alignment<-aligned
bank_1to2_b1_s05,banking,aligned,update_dispute_card_identifier,declarative,YES,charge_card<-copy:card_on_file; causal_alignment<-aligned
bank_5to8_b0_s05,banking,misaligned,update_dispute_card_identifier,declarative,YES,charge_card<-copy:card_on_file; causal_alignment<-aligned
bank_5to8_b1_s05,banking,aligned,update_dispute_card_identifier,declarative,YES,charge_card<-copy:card_on_file; causal_alignment<-aligned
clinic_12to20_b0_s05,scheduling,misaligned,replace_referral_with_qualifying_source,declarative,YES,referral_source<-copy:required_source; causal_alignment<-aligned
clinic_12to20_b1_s05,scheduling,aligned,replace_referral_with_qualifying_source,declarative,YES,referral_source<-copy:required_source; causal_alignment<-aligned
clinic_1to2_b0_s05,scheduling,misaligned,replace_referral_with_qualifying_source,declarative,YES,referral_source<-copy:required_source; causal_alignment<-aligned
clinic_1to2_b1_s05,scheduling,aligned,replace_referral_with_qualifying_source,declarative,YES,referral_source<-copy:required_source; causal_alignment<-aligned
clinic_5to8_b0_s05,scheduling,misaligned,replace_referral_with_qualifying_source,declarative,YES,referral_source<-copy:required_source; causal_alignment<-aligned
clinic_5to8_b1_s05,scheduling,aligned,replace_referral_with_qualifying_source,declarative,YES,referral_source<-copy:required_source; causal_alignment<-aligned
college_12to20_b0_s05,education,misaligned,complete_prior_study_assessment,declarative,YES,prior_study_state<-copy:required_state; causal_alignment<-aligned
college_12to20_b1_s05,education,aligned,complete_prior_study_assessment,declarative,YES,prior_study_state<-copy:required_state; causal_alignment<-aligned
college_1to2_b0_s05,education,misaligned,complete_prior_study_assessment,declarative,YES,prior_study_state<-copy:required_state; causal_alignment<-aligned
college_1to2_b1_s05,education,aligned,complete_prior_study_assessment,declarative,YES,prior_study_state<-copy:required_state; causal_alignment<-aligned
college_5to8_b0_s05,education,misaligned,complete_prior_study_assessment,declarative,YES,prior_study_state<-copy:required_state; causal_alignment<-aligned
college_5to8_b1_s05,education,aligned,complete_prior_study_assessment,declarative,YES,prior_study_state<-copy:required_state; causal_alignment<-aligned
delivery_12to20_b0_s05,logistics,misaligned,correct_parcel_destination,declarative,YES,label_address<-copy:account_address; causal_alignment<-aligned
delivery_12to20_b1_s05,logistics,aligned,correct_parcel_destination,declarative,YES,label_address<-copy:account_address; causal_alignment<-aligned
delivery_1to2_b0_s05,logistics,misaligned,correct_parcel_destination,declarative,YES,label_address<-copy:account_address; causal_alignment<-aligned
delivery_1to2_b1_s05,logistics,aligned,correct_parcel_destination,declarative,YES,label_address<-copy:account_address; causal_alignment<-aligned
delivery_5to8_b0_s05,logistics,misaligned,correct_parcel_destination,declarative,YES,label_address<-copy:account_address; causal_alignment<-aligned
delivery_5to8_b1_s05,logistics,aligned,correct_parcel_destination,declarative,YES,label_address<-copy:account_address; causal_alignment<-aligned
flight_12to20_b0_s05,travel,misaligned,self_protect_onward_segment,domain-coded,no,-
flight_12to20_b1_s05,travel,aligned,self_protect_onward_segment,domain-coded,no,-
flight_1to2_b0_s05,travel,misaligned,self_protect_onward_segment,domain-coded,no,-
flight_1to2_b1_s05,travel,aligned,self_protect_onward_segment,domain-coded,no,-
flight_5to8_b0_s05,travel,misaligned,self_protect_onward_segment,domain-coded,no,-
flight_5to8_b1_s05,travel,aligned,self_protect_onward_segment,domain-coded,no,-
motor_12to20_b0_s05,motor_insurance,misaligned,align_policyholder_record,declarative,YES,policy_name<-copy:keeper_name; causal_alignment<-aligned
motor_12to20_b1_s05,motor_insurance,aligned,align_policyholder_record,declarative,YES,policy_name<-copy:keeper_name; causal_alignment<-aligned
motor_1to2_b0_s05,motor_insurance,misaligned,align_policyholder_record,declarative,YES,policy_name<-copy:keeper_name; causal_alignment<-aligned
motor_1to2_b1_s05,motor_insurance,aligned,align_policyholder_record,declarative,YES,policy_name<-copy:keeper_name; causal_alignment<-aligned
motor_5to8_b0_s05,motor_insurance,misaligned,align_policyholder_record,declarative,YES,policy_name<-copy:keeper_name; causal_alignment<-aligned
motor_5to8_b1_s05,motor_insurance,aligned,align_policyholder_record,declarative,YES,policy_name<-copy:keeper_name; causal_alignment<-aligned
permit_12to20_b0_s05,permits,misaligned,upload_applicant_named_proof,declarative,YES,proof_name<-copy:applicant_name; causal_alignment<-aligned
permit_12to20_b1_s05,permits,aligned,upload_applicant_named_proof,declarative,YES,proof_name<-copy:applicant_name; causal_alignment<-aligned
permit_1to2_b0_s05,permits,misaligned,upload_applicant_named_proof,declarative,YES,proof_name<-copy:applicant_name; causal_alignment<-aligned
permit_1to2_b1_s05,permits,aligned,upload_applicant_named_proof,declarative,YES,proof_name<-copy:applicant_name; causal_alignment<-aligned
permit_5to8_b0_s05,permits,misaligned,upload_applicant_named_proof,declarative,YES,proof_name<-copy:applicant_name; causal_alignment<-aligned
permit_5to8_b1_s05,permits,aligned,upload_applicant_named_proof,declarative,YES,proof_name<-copy:applicant_name; causal_alignment<-aligned
pharmacy_12to20_b0_s05,pharmacy,misaligned,correct_pharmacy_billing_profile,declarative,YES,billing_plan<-copy:active_plan; causal_alignment<-aligned
pharmacy_12to20_b1_s05,pharmacy,aligned,correct_pharmacy_billing_profile,declarative,YES,billing_plan<-copy:active_plan; causal_alignment<-aligned
pharmacy_1to2_b0_s05,pharmacy,misaligned,correct_pharmacy_billing_profile,declarative,YES,billing_plan<-copy:active_plan; causal_alignment<-aligned
pharmacy_1to2_b1_s05,pharmacy,aligned,correct_pharmacy_billing_profile,declarative,YES,billing_plan<-copy:active_plan; causal_alignment<-aligned
pharmacy_5to8_b0_s05,pharmacy,misaligned,correct_pharmacy_billing_profile,declarative,YES,billing_plan<-copy:active_plan; causal_alignment<-aligned
pharmacy_5to8_b1_s05,pharmacy,aligned,correct_pharmacy_billing_profile,declarative,YES,billing_plan<-copy:active_plan; causal_alignment<-aligned
router_12to20_b0_s05,tech_support,misaligned,power_cycle_during_maintenance,domain-coded,no,-
router_12to20_b1_s05,tech_support,aligned,power_cycle_during_maintenance,domain-coded,no,-
router_1to2_b0_s05,tech_support,misaligned,power_cycle_during_maintenance,domain-coded,no,-
router_1to2_b1_s05,tech_support,aligned,power_cycle_during_maintenance,domain-coded,no,-
router_5to8_b0_s05,tech_support,misaligned,power_cycle_during_maintenance,domain-coded,no,-
router_5to8_b1_s05,tech_support,aligned,power_cycle_during_maintenance,domain-coded,no,-
saas_12to20_b0_s05,account_access,misaligned,redirect_reset_to_active_identity_system,declarative,YES,reset_target<-copy:authentication_mode; causal_alignment<-aligned
saas_12to20_b1_s05,account_access,aligned,redirect_reset_to_active_identity_system,declarative,YES,reset_target<-copy:authentication_mode; causal_alignment<-aligned
saas_1to2_b0_s05,account_access,misaligned,redirect_reset_to_active_identity_system,declarative,YES,reset_target<-copy:authentication_mode; causal_alignment<-aligned
saas_1to2_b1_s05,account_access,aligned,redirect_reset_to_active_identity_system,declarative,YES,reset_target<-copy:authentication_mode; causal_alignment<-aligned
saas_5to8_b0_s05,account_access,misaligned,redirect_reset_to_active_identity_system,declarative,YES,reset_target<-copy:authentication_mode; causal_alignment<-aligned
saas_5to8_b1_s05,account_access,aligned,redirect_reset_to_active_identity_system,declarative,YES,reset_target<-copy:authentication_mode; causal_alignment<-aligned
