source,model,scenario_id,domain,bucket,causal_pair_id,causal_branch,condition,seed,trajectory_success,action_trajectory_success,pre_gap_success,post_gap_success,belief_reporting_success,state_belief_success,response_style_success,failure_tags,model_calls,prompt_tokens,completion_tokens,total_tokens,cost,latency_s,error
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,26301,414,26715,0.0262874,95.911,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,25066,399,25465,0.0250149,89.746,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,27564,433,27997,0.0275951,109.039,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,full_audio,1,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,15,25349,407,25756,0.0253179,84.509,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,gap_no_state_change,0,True,True,True,True,True,True,,,15,19545,496,20041,0.019756,83.483,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,gap_no_state_change,1,False,False,True,False,True,False,,STATE_BELIEF_ERROR,15,21070,516,21586,0.021331,79.17,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,hidden_user_action,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,20943,530,21473,0.0212404,75.237,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,hidden_user_action,1,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,15,22293,519,22812,0.0225629,74.507,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,neutral_audio,0,True,True,True,True,True,True,,,15,21493,516,22009,0.0217554,71.984,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,neutral_audio,1,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,15,25368,574,25942,0.0257754,81.795,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,prosody_high,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,20090,503,20593,0.0202695,62.155,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,prosody_high,1,False,False,True,True,True,True,False,PROSODY_GROUNDING_FAILURE,15,20390,492,20882,0.020542,71.573,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,prosody_low,0,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,15,20565,506,21071,0.020752,81.814,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,prosody_low,1,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,15,23390,558,23948,0.023707,79.778,
paper_results\v05\reports\complete\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,state_change_short,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,21668,508,22176,0.0219104,75.411,
