condition,decisions,FULL_SUCCESS,ACTION_SELECTION_FAILURE,LUCKY_ACTION,STATE_SYNCHRONIZATION_FAILURE,FULL_SUCCESS_pct,ACTION_SELECTION_FAILURE_pct,LUCKY_ACTION_pct,STATE_SYNCHRONIZATION_FAILURE_pct
ALL,3024,753,316,829,1126,0.249,0.1045,0.2741,0.3724
clue_removed,336,41,24,101,170,0.122,0.0714,0.3006,0.506
full_audio,336,57,20,119,140,0.1696,0.0595,0.3542,0.4167
gap_no_state_change,336,86,42,93,115,0.256,0.125,0.2768,0.3423
hidden_user_action,336,144,34,84,74,0.4286,0.1012,0.25,0.2202
neutral_audio,336,74,41,88,133,0.2202,0.122,0.2619,0.3958
prosody_high,336,85,28,92,131,0.253,0.0833,0.2738,0.3899
prosody_low,336,78,28,83,147,0.2321,0.0833,0.247,0.4375
state_change_short,336,68,46,99,123,0.2024,0.1369,0.2946,0.3661
transcript_only,336,120,53,70,93,0.3571,0.1577,0.2083,0.2768
