model,condition,scenarios_with_both_passes,final_action_correctness_disagreements,pct,belief_correctness_disagreements,pct,chosen_action_disagreements,pct
Gemini 2.5,Ordinary audio,84,29,34.5,34,40.5,44,52.4
Gemini 2.5,No state change,84,27,32.1,22,26.2,45,53.6
Gemini 2.5,Short clue,84,36,42.9,26,31.0,50,59.5
Gemini 2.5,Clue removed,84,24,28.6,16,19.0,47,56.0
Gemini 2.5,Transcript,84,16,19.0,31,36.9,24,28.6
Gemini 2.5,Neutral audio,84,27,32.1,25,29.8,37,44.0
Gemini 2.5,Explicit user update,84,27,32.1,26,31.0,33,39.3
Gemini 2.5,High prosody,84,26,31.0,29,34.5,42,50.0
Gemini 2.5,Low prosody,84,24,28.6,36,42.9,44,52.4
Gemini 3,Ordinary audio,84,29,34.5,30,35.7,34,40.5
Gemini 3,No state change,84,23,27.4,16,19.0,26,31.0
Gemini 3,Short clue,84,31,36.9,31,36.9,30,35.7
Gemini 3,Clue removed,84,17,20.2,20,23.8,36,42.9
Gemini 3,Transcript,84,16,19.0,12,14.3,14,16.7
Gemini 3,Neutral audio,84,40,47.6,37,44.0,37,44.0
Gemini 3,Explicit user update,84,22,26.2,15,17.9,34,40.5
Gemini 3,High prosody,84,35,41.7,34,40.5,32,38.1
Gemini 3,Low prosody,84,24,28.6,25,29.8,32,38.1
GPT Audio Mini,Ordinary audio,84,19,22.6,26,31.0,29,34.5
GPT Audio Mini,No state change,84,28,33.3,26,31.0,43,51.2
GPT Audio Mini,Short clue,84,19,22.6,29,34.5,37,44.0
GPT Audio Mini,Clue removed,84,19,22.6,19,22.6,27,32.1
GPT Audio Mini,Neutral audio,84,14,16.7,32,38.1,31,36.9
GPT Audio Mini,Explicit user update,84,24,28.6,20,23.8,31,36.9
GPT Audio Mini,High prosody,84,19,22.6,35,41.7,32,38.1
GPT Audio Mini,Low prosody,84,16,19.0,28,33.3,30,35.7
