model,condition,n,trajectory_pass1,pass_k,pass_at_k,domain_ci_low,domain_ci_high,action_trajectory_success,pre_gap_success,post_gap_success,belief_validity,belief_pre_accuracy,belief_post_observation_accuracy,belief_pre_final_accuracy,revision_gain,stale_belief_persistence,brier,nll,normalized_entropy,ece,prompt_tokens,completion_tokens,total_tokens,cost,model_calls
google/gemini-2.5-flash,__overall_partial__,504,0.041666666666666664,,,,,0.2976190476190476,0.6884920634920635,0.3194444444444444,0.9761904761904762,,,,,,,,,,9700800,222995,9923795,9.29555,7591
google/gemini-2.5-flash,full_audio,168,0.011904761904761904,2,0.023809523809523808,0.0,0.02976190476190476,0.3273809523809524,0.6964285714285714,0.35119047619047616,0.9900793650793651,0.05952380952380952,0.39285714285714285,0.39880952380952384,-0.009051724137931033,0.020948275862068967,0.7865725324027916,6.744584292899263,0.22474735094236242,0.36234297108673974,4468893,72997,4541890,4.470637,2551
google/gemini-2.5-flash,clue_removed,168,0.011904761904761904,2,0.023809523809523808,0.0,0.02976190476190476,0.21428571428571427,0.5952380952380952,0.25,0.9861111111111112,0.10119047619047619,0.2976190476190476,0.2857142857142857,0.1471,0.0223,1.0062627206127206,8.035693135712107,0.3093100718746803,0.4569896769896772,4374442,71938,4446380,4.372523,2520
google/gemini-2.5-flash,transcript_only,168,0.10119047619047619,2,0.15476190476190477,0.02976190476190476,0.1904761904761905,0.35119047619047616,0.7738095238095238,0.35714285714285715,1.0,0.5178571428571429,0.5178571428571429,0.5119047619047619,0.28212,0.0176,0.4716700396825397,4.174094475892341,0.2182670075237667,0.17112103174603183,857465,78060,935525,0.452389,2520
google/gemini-3-flash-preview,__overall_partial__,499,0.1342685370741483,,,,,0.4288577154308617,0.7735470941883767,0.44288577154308617,0.9979959919839679,,,,,,,,,,9761136,268780,10029916,9.810854,7522
google/gemini-3-flash-preview,full_audio,168,0.1488095238095238,2,0.2619047619047619,0.08333333333333333,0.22023809523809526,0.4523809523809524,0.8035714285714286,0.47023809523809523,0.998015873015873,0.5416666666666666,0.5119047619047619,0.6369047619047619,0.3090769230769231,0.020384615384615383,0.4594348063555114,4.833200848446867,0.14187341020017147,0.19960278053624625,4438094,88335,4526429,4.579678,2543
google/gemini-3-flash-preview,clue_removed,163,0.03680981595092025,2,0.060240963855421686,0.0,0.08333333333333334,0.24539877300613497,0.6687116564417178,0.26993865030674846,1.0,0.25153374233128833,0.32515337423312884,0.34355828220858897,0.22680555555555557,0.018333333333333337,0.89263842078434,8.784795582994752,0.2631406938077425,0.3921498474940193,4296135,86506,4382641,4.435905,2459
google/gemini-3-flash-preview,transcript_only,168,0.21428571428571427,2,0.30952380952380953,0.125,0.3095238095238095,0.5833333333333334,0.8452380952380952,0.5833333333333334,1.0,0.5714285714285714,0.6428571428571429,0.75,0.4131386861313869,0.024817518248175185,0.3203882936507937,2.811340064881213,0.12292837698802293,0.14232142857142854,1026907,93939,1120846,0.79527,2520
openai/gpt-audio-mini,__overall_partial__,336,0.002976190476190476,,,,,0.20238095238095238,0.6041666666666666,0.24404761904761904,0.9880952380952381,,,,,,,,,,4688129,224179,4912308,3.350907,5107
openai/gpt-audio-mini,full_audio,168,0.0,2,0.0,0.0,0.0,0.18452380952380953,0.6547619047619048,0.22023809523809523,0.9940476190476191,0.17857142857142858,0.30952380952380953,0.30357142857142855,-0.010158730158730159,0.1034920634920635,0.5587827400754047,1.326308602863815,0.8032526863211931,0.07762475049900203,2360108,112164,2472272,1.685258,2568
openai/gpt-audio-mini,clue_removed,168,0.005952380952380952,2,0.011904761904761904,0.0,0.017857142857142856,0.22023809523809523,0.5535714285714286,0.26785714285714285,0.998015873015873,0.15476190476190477,0.17261904761904762,0.20833333333333334,0.045172413793103446,0.11545977011494253,0.6780296425024827,1.2279095032863063,0.8876990669589406,0.1478401191658391,2328021,112015,2440036,1.665649,2539
