source,model,scenario_id,domain,bucket,causal_pair_id,causal_branch,condition,seed,trajectory_success,action_trajectory_success,pre_gap_success,post_gap_success,belief_reporting_success,state_belief_success,response_style_success,failure_tags,model_calls,prompt_tokens,completion_tokens,total_tokens,cost,latency_s,error
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,27564,433,27997,0.0275951,109.039,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,full_audio,1,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,15,25349,407,25756,0.0253179,84.509,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,5399,513,5912,0.0029022,63.448,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,transcript_only,1,True,True,True,True,True,True,,,15,5105,443,5548,0.002639,62.013,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,26301,414,26715,0.0262874,95.911,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,bank_12to20_b0_s05,banking,12-20,bank:12-20:s05,misaligned,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,25066,399,25465,0.0250149,89.746,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,full_audio,0,False,False,False,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,15,27740,499,28239,0.0279683,118.847,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,full_audio,1,False,False,True,False,True,False,,STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,15,28797,474,29271,0.0289614,96.752,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,transcript_only,0,False,False,False,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,15,5272,493,5765,0.0028141,81.629,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,transcript_only,1,False,False,False,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,15,5929,554,6483,0.0031637,122.691,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,clue_removed,0,False,False,True,False,True,False,,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE,15,28662,478,29140,0.028835,172.1,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,college_12to20_b0_s05,education,12-20,college:12-20:s05,misaligned,clue_removed,1,False,False,False,False,True,False,,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,15,25013,461,25474,0.02440177,161.243,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,flight_12to20_b0_s05,travel,12-20,flight:12-20:s05,misaligned,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,26943,438,27381,0.026953,364.161,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,flight_12to20_b0_s05,travel,12-20,flight:12-20:s05,misaligned,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,25795,413,26208,0.0257411,259.473,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,flight_12to20_b0_s05,travel,12-20,flight:12-20:s05,misaligned,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,5055,448,5503,0.0026365,206.482,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,flight_12to20_b0_s05,travel,12-20,flight:12-20:s05,misaligned,transcript_only,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,5027,429,5456,0.0025806,177.494,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,flight_12to20_b0_s05,travel,12-20,flight:12-20:s05,misaligned,clue_removed,0,False,False,False,False,True,False,,PREMATURE_ESCALATION;STATE_BELIEF_ERROR,15,26321,391,26712,0.0262128,288.746,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,flight_12to20_b0_s05,travel,12-20,flight:12-20:s05,misaligned,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,27432,444,27876,0.0274556,330.031,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,permit_12to20_b0_s05,permits,12-20,permit:12-20:s05,misaligned,full_audio,0,False,False,False,False,True,False,,EARLY_CLUE_LOSS;PREMATURE_ESCALATION;STATE_BELIEF_ERROR,15,24203,423,24626,0.0242553,382.644,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,permit_12to20_b0_s05,permits,12-20,permit:12-20:s05,misaligned,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,20,26264,471,26735,0.0263012,645.681,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,permit_12to20_b0_s05,permits,12-20,permit:12-20:s05,misaligned,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,15,4732,409,5141,0.0024421,221.264,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v05\raw\gemini25_priority\gemini25_priority_shard00-of-12.jsonl,google/gemini-2.5-flash,permit_12to20_b0_s05,permits,12-20,permit:12-20:s05,misaligned,transcript_only,1,True,True,True,True,True,True,,,15,5176,484,5660,0.0027628,271.333,
