model,condition,n,belief_observed,ci_low,ci_high,uniform_chance_reported_by_score_py,majority_class_joint_domain_conditional,majority_class_outcome_only,majority_class_alignment_only,role_abstracted_global_constant_joint,role_abstracted_outcome_only,role_abstracted_alignment_only,clears_majority_baseline,margin_over_majority,best_single_role_guess
Gemini 2.5,Ordinary audio,168,39.3,28.0,50.6,12.3,48.2,53.0,50.0,41.1,41.1,50.0,inconclusive,-8.9,aligned_terminal + aligned
Gemini 2.5,No state change,168,60.7,48.2,73.2,12.3,45.2,76.2,50.0,38.1,63.1,50.0,YES,15.5,in_progress + aligned
Gemini 2.5,Short clue,168,35.7,26.8,45.8,12.3,48.2,53.0,50.0,41.1,41.1,50.0,no,-12.5,aligned_terminal + aligned
Gemini 2.5,Clue removed,168,29.8,23.2,36.3,12.3,43.5,56.5,50.0,32.1,40.5,50.0,no,-13.7,aligned_terminal + aligned
Gemini 2.5,Transcript,168,51.8,43.5,59.5,12.3,48.2,52.4,50.0,44.0,44.0,50.0,inconclusive,3.6,aligned_terminal + aligned
Gemini 2.5,Neutral audio,168,32.7,24.4,41.1,12.3,44.0,49.4,50.0,38.1,38.1,50.0,no,-11.3,aligned_terminal + aligned
Gemini 2.5,Explicit user update,168,72.6,61.9,83.3,12.3,69.6,75.0,92.9,54.8,54.8,92.9,inconclusive,3.0,aligned_terminal + aligned
Gemini 2.5,High prosody,168,37.5,29.2,46.4,12.3,44.0,48.2,50.0,36.9,36.9,50.0,inconclusive,-6.5,aligned_terminal + aligned
Gemini 2.5,Low prosody,168,35.7,28.6,42.9,12.3,46.4,54.8,50.0,38.7,38.7,50.0,no,-10.7,aligned_terminal + aligned
Gemini 3,Ordinary audio,168,51.2,43.5,57.7,12.3,47.0,48.8,50.0,45.8,45.8,50.0,inconclusive,4.2,aligned_terminal + aligned
Gemini 3,No state change,168,78.6,69.0,87.5,12.3,45.2,79.2,50.0,39.9,69.0,50.0,YES,33.3,in_progress + aligned
Gemini 3,Short clue,168,50.6,45.8,56.0,12.3,47.0,51.2,50.0,43.5,43.5,50.0,inconclusive,3.6,aligned_terminal + aligned
Gemini 3,Clue removed,168,32.1,22.0,41.7,12.3,44.0,54.2,50.0,33.9,33.9,50.0,no,-11.9,aligned_terminal + aligned
Gemini 3,Transcript,168,64.3,55.4,73.8,12.3,48.8,50.6,50.0,47.6,47.6,50.0,YES,15.5,aligned_terminal + aligned
Gemini 3,Neutral audio,168,54.2,47.6,60.7,12.3,48.2,50.0,50.0,47.0,47.0,50.0,inconclusive,6.0,aligned_terminal + aligned
Gemini 3,Explicit user update,168,85.1,71.4,95.8,12.3,72.0,78.6,92.9,61.3,61.3,92.9,inconclusive,13.1,aligned_terminal + aligned
Gemini 3,High prosody,168,51.2,44.0,58.9,12.3,47.0,48.8,50.0,44.6,44.6,50.0,inconclusive,4.2,aligned_terminal + aligned
Gemini 3,Low prosody,168,53.0,43.5,63.1,12.3,47.6,52.4,50.0,43.5,43.5,50.0,inconclusive,5.4,aligned_terminal + aligned
GPT Audio Mini,Ordinary audio,168,31.0,21.4,41.1,12.3,48.2,53.0,50.0,44.0,44.0,50.0,no,-17.3,aligned_terminal + aligned
GPT Audio Mini,No state change,168,63.1,49.4,76.2,12.3,46.4,75.6,50.0,34.5,54.2,50.0,YES,16.7,in_progress + aligned
GPT Audio Mini,Short clue,168,32.7,25.6,41.7,12.3,47.6,50.0,50.0,45.8,45.8,50.0,no,-14.9,aligned_terminal + aligned
GPT Audio Mini,Clue removed,168,17.3,10.1,25.0,12.3,41.7,57.1,50.0,28.0,44.6,50.0,no,-24.4,misaligned_terminal + misaligned
GPT Audio Mini,Neutral audio,168,32.1,21.4,43.5,12.3,45.8,52.4,50.0,41.1,41.1,50.0,no,-13.7,aligned_terminal + aligned
GPT Audio Mini,Explicit user update,168,67.9,50.6,82.1,12.3,69.6,75.6,92.9,56.5,56.5,92.9,inconclusive,-1.8,aligned_terminal + aligned
GPT Audio Mini,High prosody,168,30.4,20.8,39.3,12.3,44.6,52.4,50.0,39.9,39.9,50.0,no,-14.3,aligned_terminal + aligned
GPT Audio Mini,Low prosody,168,40.5,30.4,51.2,12.3,44.6,52.4,50.0,38.7,39.3,50.0,inconclusive,-4.2,aligned_terminal + aligned
