condition,decisions,FULL_SUCCESS,ACTION_SELECTION_FAILURE,LUCKY_ACTION,STATE_SYNCHRONIZATION_FAILURE,FULL_SUCCESS_pct,ACTION_SELECTION_FAILURE_pct,LUCKY_ACTION_pct,STATE_SYNCHRONIZATION_FAILURE_pct
ALL,3024,1177,476,679,692,0.3892,0.1574,0.2245,0.2288
clue_removed,336,63,36,94,143,0.1875,0.1071,0.2798,0.4256
full_audio,336,148,50,66,72,0.4405,0.1488,0.1964,0.2143
gap_no_state_change,336,129,76,78,53,0.3839,0.2262,0.2321,0.1577
hidden_user_action,336,181,43,79,33,0.5387,0.128,0.2351,0.0982
neutral_audio,336,129,53,78,76,0.3839,0.1577,0.2321,0.2262
prosody_high,336,123,50,77,86,0.3661,0.1488,0.2292,0.256
prosody_low,336,114,65,75,82,0.3393,0.1935,0.2232,0.244
state_change_short,336,117,54,65,100,0.3482,0.1607,0.1935,0.2976
transcript_only,336,173,49,67,47,0.5149,0.1458,0.1994,0.1399
