scenario_id,domain,native_prosody,high_name,high_pitch,high_speed,high_expected_style,low_name,low_pitch,low_speed,low_expected_style,delta_pitch,delta_speed,direction,transcript_variant,user_voice
bank_12to20_b0_s05,banking,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
bank_12to20_b1_s05,banking,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
bank_1to2_b0_s05,banking,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
bank_1to2_b1_s05,banking,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
bank_5to8_b0_s05,banking,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
bank_5to8_b1_s05,banking,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
clinic_12to20_b0_s05,scheduling,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,2,en-us+f3
clinic_12to20_b1_s05,scheduling,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,2,en-us+f3
clinic_1to2_b0_s05,scheduling,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,0,en-us+f3
clinic_1to2_b1_s05,scheduling,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,0,en-us+f3
clinic_5to8_b0_s05,scheduling,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,1,en-us+f4
clinic_5to8_b1_s05,scheduling,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,1,en-us+f4
college_12to20_b0_s05,education,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,2,en-us+f3
college_12to20_b1_s05,education,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,2,en-us+f3
college_1to2_b0_s05,education,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,0,en-us+f3
college_1to2_b1_s05,education,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,0,en-us+f3
college_5to8_b0_s05,education,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,1,en-us+f4
college_5to8_b1_s05,education,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,1,en-us+f4
delivery_12to20_b0_s05,logistics,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,2,en-us+f3
delivery_12to20_b1_s05,logistics,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,2,en-us+f3
delivery_1to2_b0_s05,logistics,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,0,en-us+f3
delivery_1to2_b1_s05,logistics,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,0,en-us+f3
delivery_5to8_b0_s05,logistics,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,1,en-us+f4
delivery_5to8_b1_s05,logistics,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,1,en-us+f4
flight_12to20_b0_s05,travel,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,2,en-us+f3
flight_12to20_b1_s05,travel,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,2,en-us+f3
flight_1to2_b0_s05,travel,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,0,en-us+f3
flight_1to2_b1_s05,travel,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,0,en-us+f3
flight_5to8_b0_s05,travel,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,1,en-us+f4
flight_5to8_b1_s05,travel,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,1,en-us+f4
motor_12to20_b0_s05,motor_insurance,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,2,en-us+f3
motor_12to20_b1_s05,motor_insurance,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,2,en-us+f3
motor_1to2_b0_s05,motor_insurance,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,0,en-us+f3
motor_1to2_b1_s05,motor_insurance,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,0,en-us+f3
motor_5to8_b0_s05,motor_insurance,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,1,en-us+f4
motor_5to8_b1_s05,motor_insurance,urgent,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,1,en-us+f4
permit_12to20_b0_s05,permits,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,2,en-us+f3
permit_12to20_b1_s05,permits,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,2,en-us+f3
permit_1to2_b0_s05,permits,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,0,en-us+f3
permit_1to2_b1_s05,permits,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,0,en-us+f3
permit_5to8_b0_s05,permits,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,1,en-us+f4
permit_5to8_b1_s05,permits,calm,urgent,65,190,acknowledge_urgency,calm,50,160,proceed_directly,15,30,higher on both,1,en-us+f4
pharmacy_12to20_b0_s05,pharmacy,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,2,en-us+f3
pharmacy_12to20_b1_s05,pharmacy,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,2,en-us+f3
pharmacy_1to2_b0_s05,pharmacy,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,0,en-us+f3
pharmacy_1to2_b1_s05,pharmacy,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,0,en-us+f3
pharmacy_5to8_b0_s05,pharmacy,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,1,en-us+f4
pharmacy_5to8_b1_s05,pharmacy,confused,confused,60,150,clarify_and_reassure,confident,55,165,proceed_directly,5,-15,higher on one,1,en-us+f4
router_12to20_b0_s05,tech_support,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
router_12to20_b1_s05,tech_support,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
router_1to2_b0_s05,tech_support,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
router_1to2_b1_s05,tech_support,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
router_5to8_b0_s05,tech_support,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
router_5to8_b1_s05,tech_support,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
saas_12to20_b0_s05,account_access,urgent,urgent,65,190,acknowledge_urgency,confident,55,165,proceed_directly,10,25,higher on both,2,en-us+f3
saas_12to20_b1_s05,account_access,urgent,urgent,65,190,acknowledge_urgency,confident,55,165,proceed_directly,10,25,higher on both,2,en-us+f3
saas_1to2_b0_s05,account_access,urgent,urgent,65,190,acknowledge_urgency,confident,55,165,proceed_directly,10,25,higher on both,0,en-us+f3
saas_1to2_b1_s05,account_access,urgent,urgent,65,190,acknowledge_urgency,confident,55,165,proceed_directly,10,25,higher on both,0,en-us+f3
saas_5to8_b0_s05,account_access,urgent,urgent,65,190,acknowledge_urgency,confident,55,165,proceed_directly,10,25,higher on both,1,en-us+f4
saas_5to8_b1_s05,account_access,urgent,urgent,65,190,acknowledge_urgency,confident,55,165,proceed_directly,10,25,higher on both,1,en-us+f4
telecom_12to20_b0_s05,mobile_service,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
telecom_12to20_b1_s05,mobile_service,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
telecom_1to2_b0_s05,mobile_service,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
telecom_1to2_b1_s05,mobile_service,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
telecom_5to8_b0_s05,mobile_service,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
telecom_5to8_b1_s05,mobile_service,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
tenancy_12to20_b0_s05,housing,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
tenancy_12to20_b1_s05,housing,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
tenancy_1to2_b0_s05,housing,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
tenancy_1to2_b1_s05,housing,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
tenancy_5to8_b0_s05,housing,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
tenancy_5to8_b1_s05,housing,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
utility_12to20_b0_s05,energy,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
utility_12to20_b1_s05,energy,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,2,en-us+f3
utility_1to2_b0_s05,energy,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
utility_1to2_b1_s05,energy,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,0,en-us+f3
utility_5to8_b0_s05,energy,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
utility_5to8_b1_s05,energy,frustrated,frustrated,30,185,acknowledge_impact,calm,50,160,proceed_directly,-20,25,higher on one,1,en-us+f4
warranty_12to20_b0_s05,repair,confused,confused,60,150,clarify_and_reassure,calm,50,160,proceed_directly,10,-10,higher on one,2,en-us+f3
warranty_12to20_b1_s05,repair,confused,confused,60,150,clarify_and_reassure,calm,50,160,proceed_directly,10,-10,higher on one,2,en-us+f3
warranty_1to2_b0_s05,repair,confused,confused,60,150,clarify_and_reassure,calm,50,160,proceed_directly,10,-10,higher on one,0,en-us+f3
warranty_1to2_b1_s05,repair,confused,confused,60,150,clarify_and_reassure,calm,50,160,proceed_directly,10,-10,higher on one,0,en-us+f3
warranty_5to8_b0_s05,repair,confused,confused,60,150,clarify_and_reassure,calm,50,160,proceed_directly,10,-10,higher on one,1,en-us+f4
warranty_5to8_b1_s05,repair,confused,confused,60,150,clarify_and_reassure,calm,50,160,proceed_directly,10,-10,higher on one,1,en-us+f4
