auditor,audit_item_id,more_intense_clip,clip_a_tone,clip_b_tone,speech_clarity,confidence_1_to_5,notes
annotator_01,PROSODY-01,A,confused,urgent,both_clear,4,n/a
annotator_01,PROSODY-02,B,confident,,both_clear,4,n/a
annotator_01,PROSODY-03,,,,,4,n/a
annotator_01,PROSODY-04,,,,,4,n/a
annotator_01,PROSODY-05,,,,,4,n/a
annotator_01,PROSODY-06,,,,,4,n/a
annotator_01,PROSODY-07,,,,,4,n/a
annotator_01,PROSODY-08,,,,,4,n/a
annotator_01,PROSODY-09,,,,,4,n/a
annotator_01,PROSODY-10,,,,,4,n/a
annotator_01,PROSODY-11,,,,,4,n/a
annotator_01,PROSODY-12,,,,,4,n/a
annotator_01,PROSODY-13,,,,,4,n/a
annotator_01,PROSODY-14,,,,,4,n/a
annotator_01,PROSODY-15,,,,,4,n/a
annotator_01,PROSODY-16,,,,,4,n/a
annotator_01,PROSODY-17,,,,,4,n/a
annotator_01,PROSODY-18,,,,,4,n/a
annotator_01,PROSODY-19,,,,,4,n/a
annotator_01,PROSODY-20,,,,,4,n/a
annotator_01,PROSODY-21,,,,,4,n/a
