model,condition,n,trajectory_pass1,pass_k,pass_at_k,domain_ci_low,domain_ci_high,action_trajectory_success,pre_gap_success,post_gap_success,belief_validity,belief_pre_accuracy,belief_post_observation_accuracy,belief_pre_final_accuracy,revision_gain,stale_belief_persistence,brier,nll,normalized_entropy,ece,prompt_tokens,completion_tokens,total_tokens,cost,model_calls
fake,__overall_partial__,9,0.1111111111111111,,,,,0.1111111111111111,0.8888888888888888,0.1111111111111111,1.0,,,,,,,,,,0,0,0,0.0,0
fake,full_audio,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.06333333333333335,0.1,0.7852444444444444,1.2016556534644374,0.6952383038295901,0.5616666666666666,0,0,0,0.0,0
fake,gap_no_state_change,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.06333333333333335,0.1,0.7852444444444444,1.2016556534644374,0.6952383038295901,0.5616666666666666,0,0,0,0.0,0
fake,state_change_short,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5966666666666667,0.07333333333333332,0.13713333333333333,0.34013574878504493,0.7202689461164565,0.275,0,0,0,0.0,0
fake,clue_removed,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0099444444444445,1.4764320910623343,0.6701837707886624,0.6666666666666666,0,0,0,0.0,0
fake,transcript_only,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.06333333333333335,0.1,0.7852444444444444,1.2016556534644374,0.6952383038295901,0.5616666666666666,0,0,0,0.0,0
fake,neutral_audio,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.06333333333333335,0.1,0.7852444444444444,1.2016556534644374,0.6952383038295901,0.5616666666666666,0,0,0,0.0,0
fake,hidden_user_action,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.06666666666666667,0.475,0.7852444444444444,1.2016556534644374,0.6952383038295901,0.5616666666666666,0,0,0,0.0,0
fake,prosody_high,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.06333333333333335,0.1,0.7852444444444444,1.2016556534644374,0.6952383038295901,0.5616666666666666,0,0,0,0.0,0
fake,prosody_low,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.06333333333333335,0.1,0.7852444444444444,1.2016556534644374,0.6952383038295901,0.5616666666666666,0,0,0,0.0,0
