auditor,audit_item_id,labels_semicolon_separated,evidence_or_reason,confidence_1_to_5,notes
annotator_01,FAILURE-01,STATE_BELIEF_ERROR,"Immediately after resumption the model's top reading_status is validating, while the correct state is flagged_incomplete; both selected actions are correct.",5,"Belief-only error; final belief and action recover."
annotator_01,FAILURE-02,EARLY_CLUE_LOSS;PREMATURE_CLOSE;STATE_BELIEF_ERROR,"The review is returned_unmatched and causal alignment is misaligned, yet the agent changes its final beliefs to approved/aligned and closes the request despite the earlier identifier mismatch.",4,"Closing is the narrower action failure; the earlier mismatch clue is effectively discarded."
annotator_01,FAILURE-03,ACTION_SELECTION_FAILURE;REPEATED_ACTION;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,"The agent waits without ever submitting the claim, then after twenty minutes and an explicit statement that no claim exists it waits another interval for an 'existing transaction'; several state beliefs incorrectly assume rejection or processing.",5,"The initial wait is a generic action-selection error; the second wait is also repeated and time-inconsistent."
annotator_01,FAILURE-04,ACTION_SELECTION_FAILURE,"The agent rereads the transfer code instead of submitting, then changes ownership details even though the state remains not_started and the expected next step is to send the transfer; all recorded state beliefs are correct.",5,"No narrower listed failure clearly explains the incorrect actions."
annotator_01,FAILURE-05,REPEATED_ACTION;STATE_BELIEF_ERROR;STATE_SYNC_FAILURE;TIME_INFERENCE_FAILURE,"After the thirty-minute porting window has ended the correct state is completed, but the model believes rejected and chooses to wait another interval instead of closing.",4,"The action leaves an already completed transfer unresolved and repeats waiting."
annotator_01,FAILURE-06,PREMATURE_ESCALATION;REPEATED_ACTION;STATE_BELIEF_ERROR,"The parcel is at the facility and causally aligned, but the agent rings the depot instead of booking the delivery run and then rings the depot again without new justification; causal_alignment is repeatedly believed to be misaligned.",4,"Depot contact precedes the supported normal delivery action and is then repeated."
annotator_01,FAILURE-07,ACTION_SELECTION_FAILURE;PREMATURE_ESCALATION;STATE_BELIEF_ERROR,"The agent bypasses the normal claim transaction for another payment route before submitting anything, and later reviews account information rather than submitting; the before-gap claim_status is also wrongly believed to be approved.",4,"Bypassing the standard transaction is premature; the later review is also inconsistent with the not_submitted state."
annotator_01,FAILURE-08,ACTION_SELECTION_FAILURE;PREMATURE_ESCALATION;STATE_BELIEF_ERROR,"The agent rechecks modules rather than submitting enrolment, then seeks a formal qualification evaluation instead of sending the still-unsubmitted enrolment; multiple checkpoints incorrectly report held_for_review and misaligned.",4,"Formal evaluation is an unnecessary higher-level step before the required automated run."
annotator_01,FAILURE-09,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR;STATE_SYNC_FAILURE;TIME_INFERENCE_FAILURE,"The user states the purchase was through the covered retail route and the assessment later finishes with the correct state authorised/aligned, yet the model continues to believe outside_terms/misaligned and routes the repair through the seller channel.",4,"The action preserves the obsolete coverage interpretation instead of incorporating the corrected purchase detail and completed assessment."
annotator_01,FAILURE-10,ACTION_SELECTION_FAILURE;STATE_BELIEF_ERROR,"The agent rereads the plate instead of applying and later supplies a different residence document instead of sending the still-unsubmitted application through the check; the before-gap permit_status is also wrongly refused.",5,"The later beliefs correctly recognize not_applied, so the remaining final-action error is selection rather than state synchronization."
annotator_01,FAILURE-11,STATE_BELIEF_ERROR,"The before-gap work_order_status is incorrectly reported as access_refused rather than not_created; after resumption the beliefs and both selected actions are correct.",5,"Belief-only failure."
annotator_01,FAILURE-12,EARLY_CLUE_LOSS;PREMATURE_ESCALATION;REPEATED_ACTION;STATE_BELIEF_ERROR,"The user explicitly says the parcel label and account show the same current address, but the model continues to treat causal alignment as mismatched, rings the depot instead of booking delivery, and repeats the depot call.",4,"The explicit matching-address clue is not carried into the chosen actions."
annotator_01,FAILURE-13,STATE_BELIEF_ERROR,"Before the gap and immediately after resumption the dispute_status is incorrectly believed to be returned_unmatched despite the aligned reissued-card detail; the final belief corrects to approved and both selected actions are correct.",5,"Belief error recovers before the final action."
annotator_01,FAILURE-14,EARLY_CLUE_LOSS;STATE_BELIEF_ERROR,"The user states that the disputed transaction used the same reissued-card reference and the model correctly believes the review is approved, yet it believes causal alignment is misaligned and chooses to rematch identifiers before retrying instead of closing.",5,"The final action disregards the earlier matching-identifier clue."
annotator_01,FAILURE-15,EARLY_CLUE_LOSS;PREMATURE_ESCALATION;STATE_BELIEF_ERROR;STATE_SYNC_FAILURE;TIME_INFERENCE_FAILURE,"The reset targeted the active federated identity system and propagation has finished, so access is correctly restored/aligned; the model instead believes still_locked/misaligned and escalates to the external directory team.",5,"The action treats the pre-reset access problem as unresolved after propagation."
annotator_01,FAILURE-16,EARLY_CLUE_LOSS;REPEATED_ACTION;STATE_BELIEF_ERROR;STATE_SYNC_FAILURE;TIME_INFERENCE_FAILURE,"The user had established that contractor authority was expired, and after the visit window ends the correct state is access_refused; the model instead believes dispatched and sends the same job to the rota again.",4,"The same dispatch is repeated without fixing the known permissions problem."
annotator_01,FAILURE-17,STATE_BELIEF_ERROR,"The before-gap connection_status is incorrectly believed protected rather than viable, and immediately after resumption causal_alignment is also wrong; the final beliefs and both actions are correct.",5,"Belief-only failure with recovery by the final action."
annotator_01,FAILURE-18,ACTION_SELECTION_FAILURE;REPEATED_ACTION;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,"The agent rereads the plate rather than submitting, then after twenty-five minutes and explicit confirmation that no application exists it waits another interval; permit_status is wrongly believed to be in_check at every checkpoint.",5,"The second action repeats waiting for a transaction that was never initiated."
annotator_01,FAILURE-19,STATE_BELIEF_ERROR;STATE_SYNC_FAILURE;TIME_INFERENCE_FAILURE,"After the thirty-five-minute assessment is finished the correct claim state is settled/aligned, but the model believes held_for_proof/misaligned and changes the policy paperwork instead of closing the completed claim.",4,"The post-gap action treats the claim as still requiring pre-settlement remediation."
annotator_01,FAILURE-20,STATE_BELIEF_ERROR,"Both selected actions are correct, but the model wrongly reports in_progress and aligned at multiple checkpoints where the correct states are not_started or rejected and misaligned.",5,"Belief-only failure; final causal alignment recovers."
annotator_01,FAILURE-21,STATE_BELIEF_ERROR,"The before-gap access_status is marked wrong because the model's top value is still_locked while the correct value is locked; after resumption all beliefs and both selected actions are correct.",5,"Belief-only failure."
