audit_item_id,more_intense_clip,clip_a_tone,clip_b_tone,speech_clarity,confidence
PROSODY-01,A,confused,urgent,both_clear,4
PROSODY-02,B,confident,(blank),both_clear,4
PROSODY-03,(blank),(blank),(blank),(blank),4
PROSODY-04,(blank),(blank),(blank),(blank),4
PROSODY-05,(blank),(blank),(blank),(blank),4
PROSODY-06,(blank),(blank),(blank),(blank),4
PROSODY-07,(blank),(blank),(blank),(blank),4
PROSODY-08,(blank),(blank),(blank),(blank),4
PROSODY-09,(blank),(blank),(blank),(blank),4
PROSODY-10,(blank),(blank),(blank),(blank),4
PROSODY-11,(blank),(blank),(blank),(blank),4
PROSODY-12,(blank),(blank),(blank),(blank),4
PROSODY-13,(blank),(blank),(blank),(blank),4
PROSODY-14,(blank),(blank),(blank),(blank),4
PROSODY-15,(blank),(blank),(blank),(blank),4
PROSODY-16,(blank),(blank),(blank),(blank),4
PROSODY-17,(blank),(blank),(blank),(blank),4
PROSODY-18,(blank),(blank),(blank),(blank),4
PROSODY-19,(blank),(blank),(blank),(blank),4
PROSODY-20,(blank),(blank),(blank),(blank),4
PROSODY-21,(blank),(blank),(blank),(blank),4
