source,model,scenario_id,domain,bucket,condition,seed,trajectory_success,action_trajectory_success,pre_gap_success,post_gap_success,belief_reporting_success,state_belief_success,response_style_success,failure_tags,model_calls,prompt_tokens,completion_tokens,total_tokens,cost,latency_s,error
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,clue_removed,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,21857,344,22201,0.0218434,113.488,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,19217,313,19530,0.019128,129.319,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,full_audio,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,22730,353,23083,0.022741,94.184,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,21944,359,22303,0.0219672,94.086,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,gap_no_state_change,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,22024,331,22355,0.0219779,179.142,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,gap_no_state_change,1,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,14,20410,326,20736,0.0203535,143.746,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,neutral_audio,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR;TIME_INFERENCE_FAILURE,14,20642,314,20956,0.0205555,146.123,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,neutral_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20904,320,21224,0.0208325,134.816,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,prosody_high,0,False,False,False,False,True,False,False,PREMATURE_CLOSE;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,21879,346,22225,0.02182,141.362,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,prosody_high,1,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,14,21190,341,21531,0.0211178,120.906,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,prosody_low,0,False,False,False,False,True,False,False,PREMATURE_CLOSE;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,21611,338,21949,0.021532,131.04,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,prosody_low,1,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,22976,367,23343,0.0229716,118.566,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,transcript_only,0,True,True,True,True,True,True,,,14,4102,339,4441,0.0020781,57.488,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v0_s04,banking,12-20,transcript_only,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,4183,344,4527,0.0021149,60.12,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,clue_removed,0,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,14,20512,315,20827,0.0204252,145.434,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,clue_removed,1,False,True,True,True,False,False,,BELIEF_REPORT_INVALID;STATE_BELIEF_ERROR,14,22080,351,22431,0.0220832,141.53,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,full_audio,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,21764,332,22096,0.0217204,96.096,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,22181,345,22526,0.022172,91.318,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,21953,328,22281,0.0219015,128.342,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,gap_no_state_change,1,False,False,True,False,True,False,,STATE_BELIEF_ERROR,14,23813,363,24176,0.023849,146.53,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,neutral_audio,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,21185,316,21501,0.0211035,145.924,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,neutral_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,24023,343,24366,0.024009,117.36,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,prosody_high,0,False,False,True,True,False,False,False,BELIEF_REPORT_INVALID;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,22852,350,23202,0.0228051,131.082,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,prosody_high,1,False,True,True,True,True,False,True,STATE_BELIEF_ERROR,14,21495,324,21819,0.02066454,109.072,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,prosody_low,0,False,False,False,False,True,False,False,PREMATURE_CLOSE;PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,23342,358,23700,0.0233137,136.914,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,prosody_low,1,False,False,True,True,True,False,False,PROSODY_GROUNDING_FAILURE;STATE_BELIEF_ERROR,14,22034,362,22396,0.0220171,122.085,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,transcript_only,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,4127,335,4462,0.0020756,58.298,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_12to20_v1_s04,banking,12-20,transcript_only,1,True,True,True,True,True,True,,,14,4107,332,4439,0.0020621,58.927,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,clue_removed,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20709,347,21056,0.020705,133.527,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,clue_removed,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20242,321,20563,0.020173,134.816,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,full_audio,0,False,False,False,False,True,False,,PREMATURE_CLOSE;STATE_BELIEF_ERROR,14,19733,321,20054,0.0196612,88.785,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,full_audio,1,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,20395,351,20746,0.020401,93.608,
C:\Users\shlee\OneDrive\Documents\GitHub\DUAL-AudioBench\paper_results\v04\reports\headline_and_controls\google_gemini-2.5-flash.jsonl,google/gemini-2.5-flash,bank_1to2_v0_s04,banking,1-2,gap_no_state_change,0,False,True,True,True,True,False,,STATE_BELIEF_ERROR,14,19725,320,20045,0.0196535,167.342,
