model,condition,n,trajectory_pass1,pass_k,pass_at_k,domain_ci_low,domain_ci_high,action_trajectory_success,pre_gap_success,post_gap_success,belief_validity,belief_pre_accuracy,belief_post_observation_accuracy,belief_pre_final_accuracy,revision_gain,stale_belief_persistence,brier,nll,normalized_entropy,ece,prompt_tokens,completion_tokens,total_tokens,cost,model_calls
google/gemini-2.5-flash,__overall_partial__,1512,0.05092592592592592,,,,,0.2671957671957672,0.6653439153439153,0.38095238095238093,0.957010582010582,,,,,,,,,,31137067,761204,31898271,31.029013,22717
google/gemini-2.5-flash,full_audio,168,0.011904761904761904,2,0.023809523809523808,0.0,0.02976190476190476,0.3273809523809524,0.6964285714285714,0.35119047619047616,0.9900793650793651,0.05952380952380952,0.39285714285714285,0.39880952380952384,-0.009051724137931033,0.020948275862068967,0.7865725324027916,6.744584292899263,0.22474735094236242,0.36234297108673974,4468893,72997,4541890,4.470637,2551
google/gemini-2.5-flash,gap_no_state_change,168,0.08928571428571429,2,0.15476190476190477,0.05357142857142857,0.13095238095238096,0.2916666666666667,0.6785714285714286,0.3869047619047619,0.9821428571428571,0.31547619047619047,0.6071428571428571,0.44642857142857145,0.5962962962962963,0.027777777777777776,0.5502742985971945,4.392193164570262,0.21202282298870626,0.24181863727454916,3599008,90214,3689222,3.653271,2526
google/gemini-2.5-flash,state_change_short,168,0.017857142857142856,2,0.03571428571428571,0.0,0.03571428571428571,0.25595238095238093,0.6369047619047619,0.35714285714285715,0.9821428571428571,0.2976190476190476,0.35714285714285715,0.38095238095238093,0.14204761904761906,0.017380952380952382,0.6751608330040499,6.193364098055965,0.17312941457347072,0.3143028583237148,3489713,88628,3578341,3.540942,2520
google/gemini-2.5-flash,clue_removed,168,0.011904761904761904,2,0.023809523809523808,0.0,0.02976190476190476,0.21428571428571427,0.5952380952380952,0.25,0.9861111111111112,0.10119047619047619,0.2976190476190476,0.2857142857142857,0.1471,0.0223,1.0062627206127206,8.035693135712107,0.3093100718746803,0.4569896769896772,4374442,71938,4446380,4.372523,2520
google/gemini-2.5-flash,transcript_only,168,0.10119047619047619,2,0.15476190476190477,0.02976190476190476,0.1904761904761905,0.35119047619047616,0.7738095238095238,0.35714285714285715,1.0,0.5178571428571429,0.5178571428571429,0.5119047619047619,0.28212,0.0176,0.4716700396825397,4.174094475892341,0.2182670075237667,0.17112103174603183,857465,78060,935525,0.452389,2520
google/gemini-2.5-flash,neutral_audio,168,0.005952380952380952,2,0.011904761904761904,0.0,0.017857142857142856,0.25595238095238093,0.6488095238095238,0.31547619047619047,0.9801587301587302,0.2976190476190476,0.3273809523809524,0.3869047619047619,0.23625000000000002,0.01314814814814815,0.7052430722891566,5.928482613117411,0.21345697737066013,0.32056224899598396,3570697,88801,3659498,3.615247,2520
google/gemini-2.5-flash,hidden_user_action,168,0.17857142857142858,2,0.30952380952380953,0.10714285714285714,0.255952380952381,0.5416666666666666,0.6369047619047619,0.7202380952380952,0.9821428571428571,0.3392857142857143,0.7261904761904762,0.7202380952380952,0.749554794520548,0.0523972602739726,0.39529354354354357,3.1559081469808357,0.14991399833545171,0.17351351351351352,3571155,88938,3660093,3.624849,2520
google/gemini-2.5-flash,prosody_high,168,0.005952380952380952,2,0.011904761904761904,0.0,0.017857142857142856,0.06547619047619048,0.6845238095238095,0.36904761904761907,0.9821428571428572,0.30357142857142855,0.375,0.36904761904761907,0.19390350877192983,0.015789473684210527,0.6895763540414163,6.331115855671949,0.189857511479181,0.31485871743486976,3591247,90812,3682059,3.634362,2520
google/gemini-2.5-flash,prosody_low,168,0.03571428571428571,2,0.05952380952380952,0.0,0.07738095238095237,0.10119047619047619,0.6369047619047619,0.32142857142857145,0.9841269841269842,0.25,0.35714285714285715,0.38095238095238093,0.046071428571428576,0.022857142857142857,0.7152926978957915,6.057022940394443,0.20757270223044155,0.3269088176352706,3614447,90816,3705263,3.664792,2520
google/gemini-3-flash-preview,__overall_partial__,1512,0.12103174603174603,,,,,0.3816137566137566,0.7466931216931217,0.4808201058201058,0.998015873015873,,,,,,,,,,38435081,838465,39273546,38.848577,22934
google/gemini-3-flash-preview,full_audio,168,0.1488095238095238,2,0.2619047619047619,0.08333333333333333,0.22023809523809526,0.4523809523809524,0.8035714285714286,0.47023809523809523,0.998015873015873,0.5416666666666666,0.5119047619047619,0.6369047619047619,0.3090769230769231,0.020384615384615383,0.4594348063555114,4.833200848446867,0.14187341020017147,0.19960278053624625,4438094,88335,4526429,4.579678,2543
google/gemini-3-flash-preview,gap_no_state_change,168,0.21428571428571427,2,0.34523809523809523,0.14285714285714285,0.29166666666666663,0.47619047619047616,0.75,0.48214285714285715,1.0,0.5119047619047619,0.7857142857142857,0.7083333333333334,0.585178027313082,0.013247863247863248,0.3250071785117309,2.5921945975312384,0.16799114827777098,0.12496554732487142,4839626,95973,4935599,4.908531,2627
google/gemini-3-flash-preview,state_change_short,168,0.11904761904761904,2,0.21428571428571427,0.06547619047619048,0.17857142857142858,0.375,0.6607142857142857,0.4226190476190476,1.0,0.4880952380952381,0.5059523809523809,0.5297619047619048,0.28017857142857144,0.021875000000000002,0.48874360119047616,5.166095330380816,0.15048193843795235,0.20694444444444446,4697321,93744,4791065,4.759081,2547
google/gemini-3-flash-preview,clue_removed,168,0.03571428571428571,2,0.05952380952380952,0.0,0.07738095238095237,0.24404761904761904,0.6666666666666666,0.26785714285714285,1.0,0.24404761904761904,0.32142857142857145,0.34523809523809523,0.22427927927927926,0.01783783783783784,0.8962339042927426,8.815892985131319,0.26845856412479996,0.39084578457257024,4438976,89570,4528546,4.581207,2534
google/gemini-3-flash-preview,transcript_only,168,0.21428571428571427,2,0.30952380952380953,0.125,0.3095238095238095,0.5833333333333334,0.8452380952380952,0.5833333333333334,1.0,0.5714285714285714,0.6428571428571429,0.75,0.4131386861313869,0.024817518248175185,0.3203882936507937,2.811340064881213,0.12292837698802293,0.14232142857142854,1026907,93939,1120846,0.79527,2520
google/gemini-3-flash-preview,neutral_audio,168,0.10714285714285714,2,0.19047619047619047,0.05357142857142857,0.17261904761904762,0.43452380952380953,0.7797619047619048,0.4523809523809524,0.998015873015873,0.5119047619047619,0.5416666666666666,0.5714285714285714,0.336496062992126,0.028346456692913385,0.4757365521350546,4.614197042527799,0.16747174297988207,0.1986653426017875,4681389,93146,4774535,4.742405,2523
google/gemini-3-flash-preview,hidden_user_action,168,0.22023809523809523,2,0.30952380952380953,0.1130952380952381,0.3511904761904762,0.6309523809523809,0.75,0.7976190476190477,1.0,0.4226190476190476,0.8511904761904762,0.9107142857142857,0.794671052631579,0.05690789473684211,0.26989922023809526,2.4992005231759733,0.1201783079830071,0.10811607142857145,4779974,93635,4873609,4.839389,2548
google/gemini-3-flash-preview,prosody_high,168,0.005952380952380952,2,0.011904761904761904,0.0,0.017857142857142856,0.06547619047619048,0.7440476190476191,0.44642857142857145,1.0,0.48214285714285715,0.5119047619047619,0.5476190476190477,0.2972357723577236,0.013414634146341465,0.49967539683174605,4.826509235895672,0.15761426235495468,0.2106844444444445,4791026,95419,4886445,4.847581,2560
google/gemini-3-flash-preview,prosody_low,168,0.023809523809523808,2,0.047619047619047616,0.005952380952380952,0.041666666666666664,0.17261904761904762,0.7202380952380952,0.40476190476190477,0.998015873015873,0.5238095238095238,0.5297619047619048,0.5416666666666666,0.24952586206896551,0.013793103448275864,0.4871342105263158,4.659803527290936,0.16600857037880765,0.20301886792452836,4741768,94704,4836472,4.795434,2532
openai/gpt-audio-mini,__overall_partial__,1344,0.018601190476190476,,,,,0.19717261904761904,0.6235119047619048,0.2663690476190476,0.9925595238095238,,,,,,,,,,18670900,897363,19568263,13.356211,20227
openai/gpt-audio-mini,full_audio,168,0.0,2,0.0,0.0,0.0,0.18452380952380953,0.6547619047619048,0.22023809523809523,0.9940476190476191,0.17857142857142858,0.30952380952380953,0.30357142857142855,-0.010158730158730159,0.1034920634920635,0.5587827400754047,1.326308602863815,0.8032526863211931,0.07762475049900203,2360108,112164,2472272,1.685258,2568
openai/gpt-audio-mini,gap_no_state_change,168,0.02976190476190476,2,0.05952380952380952,0.005952380952380952,0.05952380952380952,0.17261904761904762,0.6130952380952381,0.21428571428571427,0.998015873015873,0.19047619047619047,0.6309523809523809,0.5535714285714286,0.2720779220779221,0.12582417582417585,0.45201409472535226,0.9670815884212978,0.7678716036275129,0.080666245373296,2332459,110507,2442966,1.664692,2520
openai/gpt-audio-mini,state_change_short,168,0.011904761904761904,2,0.023809523809523808,0.0,0.03571428571428571,0.18452380952380953,0.6666666666666666,0.20833333333333334,1.0,0.15476190476190477,0.3273809523809524,0.27380952380952384,-0.05731481481481482,0.11435185185185184,0.5679078869047619,1.5476331663379792,0.7713144665771835,0.06626984126984126,2256735,110687,2367422,1.61969,2520
openai/gpt-audio-mini,clue_removed,168,0.005952380952380952,2,0.011904761904761904,0.0,0.017857142857142856,0.22023809523809523,0.5535714285714286,0.26785714285714285,0.998015873015873,0.15476190476190477,0.17261904761904762,0.20833333333333334,0.045172413793103446,0.11545977011494253,0.6780296425024827,1.2279095032863063,0.8876990669589406,0.1478401191658391,2328021,112015,2440036,1.665649,2539
openai/gpt-audio-mini,neutral_audio,168,0.005952380952380952,2,0.011904761904761904,0.0,0.017857142857142856,0.16071428571428573,0.6309523809523809,0.19047619047619047,0.9940476190476191,0.16071428571428573,0.32142857142857145,0.3392857142857143,-0.007843137254901957,0.11666666666666667,0.5605480558325024,1.1347743656520992,0.8008423271652051,0.05700897308075776,2344215,114248,2458463,1.680724,2520
openai/gpt-audio-mini,hidden_user_action,168,0.08928571428571429,2,0.14285714285714285,0.023809523809523808,0.17261904761904762,0.5654761904761905,0.6547619047619048,0.6309523809523809,0.998015873015873,0.19642857142857142,0.6785714285714286,0.6190476190476191,0.4346467991169978,0.12006622516556291,0.3936911432187726,0.9906794458809164,0.6523139870176982,0.08263669465258344,2351760,110608,2462368,1.676515,2520
openai/gpt-audio-mini,prosody_high,168,0.0,2,0.0,0.0,0.0,0.07738095238095238,0.6071428571428571,0.19642857142857142,1.0,0.19642857142857142,0.30357142857142855,0.25595238095238093,-0.027268041237113398,0.11082474226804123,0.5794078688117016,1.3667181964897834,0.7946581530546849,0.06874049809317667,2340003,113581,2453584,1.676596,2520
openai/gpt-audio-mini,prosody_low,168,0.005952380952380952,2,0.011904761904761904,0.0,0.017857142857142856,0.011904761904761904,0.6071428571428571,0.20238095238095238,0.998015873015873,0.20833333333333334,0.40476190476190477,0.32142857142857145,-0.009962121212121207,0.11928135521885523,0.5406953693967204,1.4254587789715882,0.8044387942496246,0.0469221037411892,2357599,113553,2471152,1.687087,2520
